name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score,Director,Actors,Total_Gross,main_genre,budget,id,imdb_id,original_language,original_title,revenue
Ex Machina,Drama,7.7,Alex Garland,Alicia Vikander,15000000.0,36869414.0,Alex Garland,Sonoya Mizuno,25440971.0,Drama|Mystery|Sci-Fi|Thriller,Elina Alminas,Ex Machina,15000000.0,7.7,,,,,,,,,,
Divergent,Action,6.6,Neil Burger,Shailene Woodley,85000000.0,288885818.0,Neil Burger,Theo James,150832203.0,Adventure|Mystery|Sci-Fi,Kate Winslet,Divergent,85000000.0,6.7,,,,,,,,,,
Nightcrawler,Crime,7.8,Dan Gilroy,Jake Gyllenhaal,8500000.0,47398992.0,Dan Gilroy,Michael Papajohn,32279955.0,Crime|Drama|Thriller,Jake Gyllenhaal,Nightcrawler,8500000.0,7.9,,,,,,,,,,
The Hobbit: The Battle of the Five Armies,Adventure,7.4,Peter Jackson,Ian McKellen,250000000.0,962182865.0,Peter Jackson,Adam Brown,255108370.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies,250000000.0,7.5,,,,,,,,,,
The Equalizer,Action,7.2,Antoine Fuqua,Denzel Washington,55000000.0,192330738.0,Antoine Fuqua,Chloë Grace Moretz,101530738.0,Action|Crime|Thriller,Denzel Washington,The Equalizer,55000000.0,7.2,,,,,,,,,,
The Maze Runner,Action,6.8,Wes Ball,Dylan O'Brien,34000000.0,348319861.0,Wes Ball,Aml Ameen,102413606.0,Action|Mystery|Sci-Fi|Thriller,Ki Hong Lee,The Maze Runner,34000000.0,6.8,,,,,,,,,,
Lucy,Action,6.4,Luc Besson,Scarlett Johansson,40000000.0,458863600.0,Luc Besson,Morgan Freeman,126546825.0,Action|Sci-Fi|Thriller,Scarlett Johansson,Lucy,40000000.0,6.4,,,,,,,,,,
The Imitation Game,Biography,8.0,Morten Tyldum,Benedict Cumberbatch,14000000.0,233555708.0,Morten Tyldum,Rory Kinnear,91121452.0,Biography|Drama|Thriller|War,Benedict Cumberbatch,The Imitation Game,14000000.0,8.1,,,,,,,,,,
Fury,Action,7.6,David Ayer,Brad Pitt,68000000.0,211822697.0,David Ayer,Logan Lerman,85707116.0,Action|Drama|War,Brad Pitt,Fury,68000000.0,7.6,,,,,,,,,,
X-Men: Days of Future Past,Action,7.9,Bryan Singer,Patrick Stewart,200000000.0,746045700.0,Bryan Singer,Peter Dinklage,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past,200000000.0,8.0,,,,,,,,,,
The Purge: Anarchy,Action,6.4,James DeMonaco,Frank Grillo,9000000.0,111928365.0,James DeMonaco,Zach Gilford,71519230.0,Action|Horror|Sci-Fi|Thriller,Noel Gugliemi,The Purge: Anarchy,9000000.0,6.5,,,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),Comedy,7.7,Alejandro G. Iñárritu,Michael Keaton,18000000.0,103215094.0,Alejandro G. Iñárritu,Naomi Watts,42335698.0,Comedy|Drama|Romance,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance),18000000.0,7.8,,,,,,,,,,
It Follows,Horror,6.8,David Robert Mitchell,Maika Monroe,1000000.0,21947454.0,David Robert Mitchell,Ruby Harris,14673301.0,Horror|Mystery,Maika Monroe,It Follows,2000000.0,6.9,,,,,,,,,,
Blended,Comedy,6.5,Frank Coraci,Adam Sandler,40000000.0,127994610.0,Frank Coraci,Adam Sandler,46280507.0,Comedy|Romance,Bella Thorne,Blended,40000000.0,6.5,,,,,,,,,,
The Judge,Crime,7.4,David Dobkin,Robert Downey Jr.,50000000.0,84419388.0,David Dobkin,Robert Duvall,47105085.0,Crime|Drama,Robert Downey Jr.,The Judge,50000000.0,7.4,,,,,,,,,,
The Giver,Drama,6.5,Phillip Noyce,Brenton Thwaites,25000000.0,66980456.0,Phillip Noyce,Meryl Streep,45089048.0,Drama|Romance|Sci-Fi,Jeff Bridges,The Giver,25000000.0,6.5,,,,,,,,,,
300: Rise of an Empire,Action,6.2,Noam Murro,Sullivan Stapleton,110000000.0,337580051.0,Noam Murro,Sullivan Stapleton,106369117.0,Action|Drama|Fantasy|War,Eva Green,300: Rise of an Empire,110000000.0,6.2,,,,,,,,,,
American Sniper,Action,7.3,Clint Eastwood,Bradley Cooper,58800000.0,547426372.0,Clint Eastwood,Leonard Roberts,350123553.0,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,American Sniper,58800000.0,7.3,,,,,,,,,,
Big Hero 6,Animation,7.8,Don Hall,Ryan Potter,165000000.0,657869686.0,Don Hall,Daniel Henney,222487711.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6,165000000.0,7.9,,,,,,,,,,
The Amazing Spider-Man 2,Action,6.6,Marc Webb,Andrew Garfield,200000000.0,708982323.0,Marc Webb,Andrew Garfield,202853933.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2,200000000.0,6.7,,,,,,,,,,
Maleficent,Action,7.0,Robert Stromberg,Angelina Jolie,180000000.0,758411779.0,Robert Stromberg,Sharlto Copley,241407328.0,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent,180000000.0,7.0,,,,,,,,,,
Into the Woods,Adventure,5.9,Rob Marshall,Anna Kendrick,50000000.0,212902372.0,Rob Marshall,Meryl Streep,127997349.0,Adventure|Comedy|Drama|Fantasy|Musical,Johnny Depp,Into the Woods,50000000.0,6.0,,,,,,,,,,
Unbroken,Action,7.2,Angelina Jolie,Jack O'Connell,65000000.0,161459297.0,Angelina Jolie Pitt,Jack O'Connell,115603980.0,Biography|Drama|Sport|War,Finn Wittrock,Unbroken,65000000.0,7.2,,,,,,,,,,
The Lego Movie,Animation,7.7,Christopher Miller,Chris Pratt,60000000.0,468060692.0,Phil Lord,Will Ferrell,257756197.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,The Lego Movie,60000000.0,7.8,,,,,,,,,,
The Hunger Games: Mockingjay - Part 1,Action,6.6,Francis Lawrence,Jennifer Lawrence,125000000.0,755356711.0,Francis Lawrence,Philip Seymour Hoffman,337103873.0,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1,125000000.0,6.7,,,,,,,,,,
Tusk,Comedy,5.3,Kevin Smith,Justin Long,3000000.0,1882074.0,Kevin Smith,Haley Joel Osment,1821983.0,Comedy|Drama|Horror,Johnny Depp,Tusk,3000000.0,5.4,,,,,,,,,,
Night at the Museum: Secret of the Tomb,Adventure,6.2,Shawn Levy,Ben Stiller,127000000.0,363204635.0,Shawn Levy,Rami Malek,113733726.0,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Secret of the Tomb,127000000.0,6.2,,,,,,,,,,
The Fault in Our Stars,Drama,7.7,Josh Boone,Shailene Woodley,12000000.0,307166834.0,Josh Boone,Sam Trammell,124868837.0,Drama|Romance,Shailene Woodley,The Fault in Our Stars,12000000.0,7.8,,,,,,,,,,
"As Above, So Below",Horror,6.2,John Erick Dowdle,Perdita Weeks,5000000.0,41898409.0,John Erick Dowdle,Edwin Hodge,21197315.0,Horror|Mystery|Thriller,Ben Feldman,"As Above, So Below",5000000.0,6.1,,,,,,,,,,
