Feature,Score
director_Ben Affleck,0.00673052607268186
director_Ben Falcone,0.023063942448669512
director_Ben Lewin,0.5412558379053757
director_Ben Stiller,0.0015646131750152513
director_Ben Younger,0.40445114847703095
director_Benh Zeitlin,0.19224067893750157
director_Bennett Miller,0.1629923201865201
director_Benny Boom,0.06447897669952891
director_Benny Safdie,0.2847527694226931
director_Bent Hamer,0.28804040183737656
director_Bernard Rose,0.4608947297651948
director_Bernardo Bertolucci,1.0139572314796528
director_Bethany Ashton Wolf,0.21503273801194905
director_Betty Thomas,0.3316653801380621
director_Bibo Bergeron,0.8526907684716671
director_Bill Condon,11.515153800784532
director_Bill Couturié,0.2782992030206222
director_Bill Duke,0.6634501499922753
director_Bill Fishman,0.3017501249163255
director_Bill Forsyth,0.5878516997551371
director_Bill Holderman,4.163226684480983e-05
director_Bill Kroyer,0.14175308401062978
director_Bill Paxton,0.4296564732895805
director_Bill Pohlad,0.15858460874701902
director_Bille August,0.5578942322898139
director_Bille Woodruff,0.22882855244329417
director_Billy Bob Thornton,0.3828719273876036
director_Billy Crystal,0.23027137144291043
director_Billy Ray,0.4055238660169966
director_Billy Weber,0.29419309995041026
director_Billy Wilder,0.26255114091564563
director_Blair Hayes,0.2750104849873391
director_Blake Edwards,2.2384110082989737
director_Bo Burnham,0.22519547902264772
director_Bo Welch,0.026919326970514742
director_Boaz Yakin,0.23584939599068622
director_Bob Balaban,0.5831734583027367
director_Bob Clark,1.230185518714097
director_Bob Dolman,0.12103222421615577
director_Bob Fosse,0.2668670675559136
director_Bob Giraldi,0.2638610718675506
director_Bob Odenkirk,0.29770872457847836
director_Bob Persichetti,2.11452194942375
director_Bob Rafelson,1.5516372415926325
director_Bob Saget,0.24764118717648986
director_Bob Spiers,0.15561845148023648
director_Bob Swaim,0.21761657470723217
director_Bobby Farrelly,0.03701462227919818
director_Bobcat Goldthwait,0.30309308246392463
director_Bong Joon Ho,0.017039412598200313
director_Bonnie Hunt,0.12651055787494783
director_Boots Riley,0.20623784182389499
director_Brad Anderson,1.055874340953693
director_Brad Bird,37.741797166476196
director_Brad Furman,0.18431409737816004
director_Brad Peyton,4.956716187911952
director_Brad Silberling,0.3878363375090146
director_Bradley Cooper,3.161893452653723
director_Bradley Parker,0.11984020264640377
director_Brandon Camp,0.12850079920972876
director_Breck Eisner,0.0012126430006916672
director_Brenda Chapman,0.3795158535983028
director_Brendan Malloy,0.22299529101721416
director_Brett Haley,0.2801086793465747
director_Brett Leonard,0.8411548296031536
director_Brett Ratner,3.5905711281951134
director_Brian Dannelly,0.24630264961446036
director_Brian De Palma,0.7684902988734681
director_Brian Fee,2.246879552626993
director_Brian G. Hutton,0.1594185332165172
director_Brian Gibson,0.40666639934612897
director_Brian Gilbert,0.29119723469700765
director_Brian Helgeland,0.04124885274742381
director_Brian Henson,0.3054505219353553
director_Brian Klugman,0.21714689590230057
director_Brian Levant,0.05884886174596104
director_Brian Percival,0.020234417123027194
director_Brian Robbins,0.7135138186569838
director_Britt Allcroft,0.19865968401846498
director_Bronwen Hughes,0.10540275386639118
director_Bruce A. Evans,0.2670652655419122
director_Bruce Beresford,0.5434010956546028
director_Bruce Hunt,0.13940866205088498
director_Bruce Joel Rubin,0.1621633227897842
director_Bruce Malmuth,0.27599903741456894
director_Bruce McCulloch,0.15021574483668773
director_Bruce McDonald,0.3035811553894783
director_Bruce Paltrow,0.26605536666586094
director_Bruce Robinson,0.3878044118144829
director_Bruno Barreto,0.19971768238177712
