name,genre,score,director,actor_2_name,actor_1_name,gross,budget
Jesus' Son,Drama,6.9,Alison Maclean,Samantha Morton,Billy Crudup,1302067.0,2500000.0
"Happy, Texas",Comedy,6.3,Mark Illsley,Illeana Douglas,Ally Walker,1955933.0,1700000.0
Almost Famous,Adventure,7.9,Cameron Crowe,Zooey Deschanel,Philip Seymour Hoffman,47386287.0,60000000.0
American Psycho,Comedy,7.6,Mary Harron,Justin Theroux,Christian Bale,34266564.0,7000000.0
Snatch,Comedy,8.3,Guy Ritchie,Brad Pitt,Jason Statham,83557872.0,6000000.0
Requiem for a Dream,Drama,8.3,Darren Aronofsky,Mark Margolis,Ellen Burstyn,7390108.0,4500000.0
Memento,Mystery,8.4,Christopher Nolan,Thomas Lennon,Callum Rennie,40047078.0,9000000.0
Cast Away,Adventure,7.8,Robert Zemeckis,Paul Sanchez,Tom Hanks,429632142.0,90000000.0
The Perfect Storm,Action,6.4,Wolfgang Petersen,Mary Elizabeth Mastrantonio,Karen Allen,328718434.0,140000000.0
Coyote Ugly,Comedy,5.7,David McNally,Tyra Banks,Adam Garcia,113916474.0,45000000.0
X-Men,Action,7.4,Bryan Singer,Tyler Mane,Hugh Jackman,296339528.0,75000000.0
Space Cowboys,Action,6.4,Clint Eastwood,Courtney B. Vance,Clint Eastwood,128884132.0,65000000.0
The Patriot,Action,7.2,Roland Emmerich,Adam Baldwin,Heath Ledger,215294342.0,110000000.0
Erin Brockovich,Biography,7.4,Steven Soderbergh,Albert Finney,Julia Roberts,256271286.0,52000000.0
Unbreakable,Drama,7.3,M. Night Shyamalan,Bruce Willis,Robin Wright,248118121.0,75000000.0
Charlie's Angels,Action,5.6,McG,LL Cool J,Bill Murray,264105545.0,92000000.0
Road Trip,Comedy,6.4,Todd Phillips,Rachel Blanchard,Ethan Suplee,119754278.0,15600000.0
The Beach,Adventure,6.7,Danny Boyle,Virginie Ledoyen,Leonardo DiCaprio,144056873.0,50000000.0
Remember the Titans,Biography,7.8,Boaz Yakin,Denzel Washington,Ryan Gosling,136771683.0,30000000.0
Mission: Impossible II,Action,6.1,John Woo,Dougray Scott,Tom Cruise,546388108.0,125000000.0
"O Brother, Where Art Thou?",Adventure,7.7,Joel Coen,Tim Blake Nelson,Holly Hunter,71870729.0,26000000.0
The 6th Day,Action,5.9,Roger Spottiswoode,Michael Rapaport,Robert Duvall,96085477.0,82000000.0
Chicken Run,Animation,7.0,Peter Lord,Miranda Richardson,Imelda Staunton,224834564.0,45000000.0
The Cell,Crime,6.4,Tarsem Singh,Jake Weber,Dylan Baker,104155843.0,33000000.0
Final Destination,Horror,6.7,James Wong,Brendan Fehr,Daniel Roebuck,112880294.0,23000000.0
Traffic,Crime,7.6,Steven Soderbergh,Jacob Vargas,Michael O'Neill,207515725.0,48000000.0
What Lies Beneath,Drama,6.6,Robert Zemeckis,Amber Valletta,Harrison Ford,291420351.0,100000000.0
The Emperor's New Groove,Animation,7.4,Mark Dindal,Wendie Malick,Eartha Kitt,169661687.0,100000000.0
"Crouching Tiger, Hidden Dragon",Action,7.8,Ang Lee,Pei-Pei Cheng,Chen Chang,213525736.0,15000000.0
"Dude, Where's My Car?",Comedy,5.5,Danny Leiner,Mary Lynn Rajskub,Jennifer Garner,73180723.0,13000000.0
Meet the Parents,Comedy,7.0,Jay Roach,Blythe Danner,Robert De Niro,330444045.0,55000000.0
Pitch Black,Action,7.1,David Twohy,Radha Mitchell,Vin Diesel,53187659.0,23000000.0
Hollow Man,Action,5.8,Paul Verhoeven,Kim Dickens,Greg Grunberg,190213455.0,95000000.0
Miss Congeniality,Action,6.3,Donald Petrie,Wendy Raquel Robinson,Candice Bergen,212742720.0,45000000.0
High Fidelity,Comedy,7.5,Stephen Frears,Lili Taylor,Drake Bell,47126295.0,20000000.0
Battlefield Earth,Action,2.5,Roger Christian,Michael Byrne,Richard Tyson,29725663.0,44000000.0
Scream 3,Horror,5.6,Wes Craven,Roger Jackson,Kelly Rutherford,161834276.0,40000000.0
Best in Show,Comedy,7.5,Christopher Guest,Catherine O'Hara,John Michael Higgins,20789556.0,6000000.0
The Whole Nine Yards,Comedy,6.7,Jonathan Lynn,Matthew Perry,Bruce Willis,106371651.0,24000000.0
Billy Elliot,Drama,7.7,Stephen Daldry,Gary Lewis,Julie Walters,109283018.0,5000000.0
Amores Perros,Drama,8.1,Alejandro G. Iñárritu,Jorge Salinas,Adriana Barraza,20908467.0,2000000.0
"Me, Myself & Irene",Comedy,6.6,Bobby Farrelly,Tony Cox,Robert Forster,149270999.0,51000000.0
U-571,Action,6.6,Jonathan Mostow,Thomas Kretschmann,Matthew McConaughey,127666415.0,62000000.0
Bedazzled,Comedy,6.0,Harold Ramis,Frances O'Connor,Brendan Fraser,90383208.0,48000000.0
The Road to El Dorado,Animation,6.9,Bibo Bergeron,Rosie Perez,Frank Welker,76432727.0,95000000.0
Dinosaur,Animation,6.5,Eric Leighton,D.B. Sweeney,Alfre Woodard,349822765.0,127500000.0
How the Grinch Stole Christmas,Comedy,6.2,Ron Howard,T.J. Thyne,Clint Howard,363597184.0,123000000.0
Dancer in the Dark,Crime,8.0,Lars von Trier,Udo Kier,Catherine Deneuve,40059672.0,12800000.0
What Women Want,Comedy,6.4,Nancy Meyers,Lisa Edelstein,Judy Greer,374111707.0,70000000.0
The Gift,Drama,6.7,Sam Raimi,Allison Tolman,Busy Philipps,44567606.0,5000000.0
The Family Man,Comedy,6.8,Brett Ratner,Don Cheadle,Nicolas Cage,124745083.0,60000000.0
Mission to Mars,Adventure,5.7,Brian De Palma,Connie Nielsen,Don Cheadle,110983407.0,90000000.0
The Replacements,Comedy,6.6,Howard Deutch,Jon Favreau,Keanu Reeves,50054511.0,50000000.0
Next Friday,Comedy,6.2,Steve Carr,Mike Epps,John Witherspoon,59827328.0,9500000.0
Little Nicky,Comedy,5.3,Steven Brill,Jon Lovitz,Adam Sandler,58292295.0,80000000.0
Boiler Room,Crime,7.0,Ben Younger,Nia Long,Vin Diesel,28780255.0,8000000.0
Frequency,Crime,7.3,Gregory Hoblit,Andre Braugher,Dennis Quaid,68106245.0,31000000.0
Men of Honor,Biography,7.2,George Tillman Jr.,Charlize Theron,Robert De Niro,82343495.0,32000000.0
28 Days,Comedy,6.1,Betty Thomas,Viggo Mortensen,Steve Buscemi,62198945.0,43000000.0
Love & Basketball,Drama,7.2,Gina Prince-Bythewood,Sanaa Lathan,Alfre Woodard,27728118.0,15000000.0
Shanghai Noon,Action,6.6,Tom Dey,Jason Connery,Xander Berkeley,99274467.0,55000000.0
The Little Vampire,Adventure,5.8,Uli Edel,Jim Carter,Richard E. Grant,27965865.0,22000000.0
Quills,Biography,7.3,Philip Kaufman,Stephen Marcus,Kate Winslet,17989227.0,13500000.0
Pay It Forward,Drama,7.2,Mimi Leder,Haley Joel Osment,Kevin Spacey,55707411.0,40000000.0
Vertical Limit,Action,5.9,Martin Campbell,Scott Glenn,Nicholas Lea,215663859.0,75000000.0
The Flintstones in Viva Rock Vegas,Comedy,3.7,Brian Levant,Mark Addy,Taylor Negron,59468275.0,60000000.0
Reindeer Games,Action,5.8,John Frankenheimer,James Frain,Charlize Theron,32168970.0,34000000.0
Dracula 2000,Action,4.9,Patrick Lussier,Danny Masterson,Gerard Butler,47053625.0,28000000.0
102 Dalmatians,Adventure,4.9,Kevin Lima,Eric Idle,Ioan Gruffudd,183611771.0,85000000.0
Red Planet,Action,5.7,Antony Hoffman,Val Kilmer,Bob Neill,33463969.0,70000000.0
Get Carter,Action,5.2,Stephen Kay,Miranda Richardson,Sylvester Stallone,19412993.0,40000000.0
Wonder Boys,Comedy,7.3,Curtis Hanson,Rip Torn,Robert Downey Jr.,33426588.0,55000000.0
Shaft,Action,6.0,John Singleton,Vanessa Williams,Christian Bale,107626125.0,46000000.0
Finding Forrester,Drama,7.3,Gus Van Sant,Rob Brown,F. Murray Abraham,80049764.0,43000000.0
The Legend of Bagger Vance,Drama,6.7,Robert Redford,Will Smith,Matt Damon,39459427.0,60000000.0
Titan A.E.,Animation,6.6,Don Bluth,Janeane Garofalo,Matt Damon,36754634.0,75000000.0
Snow Day,Adventure,5.1,Chris Koch,Mark Webber,Chris Elliott,62464731.0,13000000.0
The Watcher,Crime,5.3,Joe Charbanic,Joseph Sikora,Keanu Reeves,47267829.0,33000000.0
The Skulls,Action,5.6,Rob Cohen,Leslie Bibb,Paul Walker,50802120.0,15000000.0
Romeo Must Die,Action,6.1,Andrzej Bartkowiak,Delroy Lindo,Jet Li,91036760.0,25000000.0
Big Momma's House,Action,5.2,Raja Gosnell,Cedric the Entertainer,Nia Long,173959438.0,30000000.0
Drowning Mona,Comedy,5.7,Nick Gomez,Jamie Lee Curtis,Will Ferrell,15910104.0,16000000.0
Keeping the Faith,Comedy,6.4,Edward Norton,Milos Forman,Lisa Edelstein,59945183.0,30000000.0
Center Stage,Drama,6.7,Nicholas Hytner,Susan May Pratt,Amanda Schull,26385941.0,18000000.0
Book of Shadows: Blair Witch 2,Adventure,4.0,Joe Berlinger,Erica Leerhsen,Kim Director,47737094.0,15000000.0
Thirteen Days,Drama,7.3,Roger Donaldson,Jon Foster,Bruce Greenwood,66579890.0,80000000.0
You Can Count on Me,Drama,7.5,Kenneth Lonergan,Rory Culkin,Matthew Broderick,11242521.0,1200000.0
The Kid,Comedy,6.1,Jon Turteltaub,Lily Tomlin,Bruce Willis,110317580.0,60000000.0
All the Pretty Horses,Drama,5.8,Billy Bob Thornton,Henry Thomas,Matt Damon,18133495.0,57000000.0
Hanging Up,Comedy,4.9,Diane Keaton,Celia Weston,Adam Arkin,51880044.0,60000000.0
Supernova,Horror,4.9,Walter Hill,Wilson Cruz,Robert Forster,14828081.0,65000000.0
Loser,Comedy,5.3,Amy Heckerling,Robert Miano,Andy Dick,18404706.0,20000000.0
Down to You,Comedy,5.0,Kris Isacsson,Lauren German,Rosario Dawson,24419914.0,9000000.0
The Way of the Gun,Action,6.7,Christopher McQuarrie,Nicky Katt,Kristin Lehman,13200972.0,8500000.0
The Adventures of Rocky & Bullwinkle,Animation,4.2,Des McAnuff,Janeane Garofalo,Robert De Niro,35134820.0,76000000.0
Proof of Life,Action,6.3,Taylor Hackford,Alun Armstrong,Pamela Reed,62761005.0,65000000.0
Bamboozled,Comedy,6.6,Spike Lee,Michael Rapaport,Gillian White,2463650.0,10000000.0
Shadow of the Vampire,Drama,6.9,E. Elias Merhige,Udo Kier,Eddie Izzard,11155214.0,8000000.0
Thomas and the Magic Railroad,Adventure,4.2,Britt Allcroft,Colm Feore,Mara Wilson,19748009.0,19000000.0
Return to Me,Comedy,6.9,Bonnie Hunt,Jim Belushi,Minnie Driver,36609995.0,24000000.0
Boys and Girls,Comedy,5.4,Robert Iscove,Amanda Detmer,Alyson Hannigan,25850615.0,16000000.0
Whatever It Takes,Comedy,5.5,David Raynr,Jodi Lyn O'Keefe,James Franco,9902115.0,15000000.0
Chuck & Buck,Comedy,6.6,Miguel Arteta,Mike White,Lupe Ontiveros,1182065.0,250000.0
Autumn in New York,Drama,5.6,Joan Chen,Sam Trammell,J.K. Simmons,90726668.0,40000000.0
Pollock,Biography,7.0,Ed Harris,Bud Cort,John Heard,10994533.0,6000000.0
The Art of War,Action,5.7,Christian Duguay,Cary-Hiroyuki Tagawa,Michael Biehn,40400425.0,40000000.0
Psycho Beach Party,Comedy,6.2,Robert Lee King,Kathleen Robertson,Lauren Ambrose,268117.0,1500000.0
Bait,Action,5.8,Antoine Fuqua,Cariba Heine,Alex Russell,15471969.0,30000000.0
Highlander: Endgame,Action,4.6,Douglas Aarniokoski,Adrian Paul,Christopher Lambert,15843608.0,15000000.0
The Yards,Crime,6.4,James Gray,Ellen Burstyn,Charlize Theron,924036.0,24000000.0
Urban Legends: Final Cut,Horror,4.3,John Ottman,Joey Lawrence,Loretta Devine,38574362.0,14000000.0
Woman on Top,Comedy,5.3,Fina Torres,John de Lancie,Harold Perrineau,10194274.0,8000000.0
Ready to Rumble,Comedy,5.4,Brian Robbins,Ellen Albertini Dow,Oliver Platt,12452362.0,24000000.0
The Ladies Man,Comedy,5.2,Reginald Hudlin,John Witherspoon,Will Ferrell,13743212.0,11000000.0
The Contender,Drama,6.9,Rod Lurie,Gary Oldman,Jeff Bridges,22428990.0,20000000.0
Nine Queens,Crime,7.9,Fabián Bielinsky,Gastón Pauls,Ricardo Darín,12413888.0,1500000.0
The Broken Hearts Club: A Romantic Comedy,Comedy,7.0,Greg Berlanti,Nia Long,Justin Theroux,2019121.0,1000000.0
Beautiful Creatures,Comedy,5.8,Bill Eagles,Zoey Deutch,Alden Ehrenreich,313768.0,60000000.0
Gossip,Drama,5.9,Davis Guggenheim,Sharon Lawrence,Norman Reedus,12591270.0,24000000.0
My Dog Skip,Comedy,7.0,Jay Russell,Frankie Muniz,Clint Howard,35547761.0,5000000.0
Duets,Comedy,6.1,Bruce Paltrow,Marian Seldes,Lochlyn Munro,6620242.0,15000000.0
Lucky Numbers,Comedy,5.0,Nora Ephron,Michael Moore,Michael Rapaport,10890222.0,65000000.0
Bless the Child,Crime,5.1,Chuck Russell,Jimmy Smits,Rufus Sewell,40443010.0,40000000.0
Small Time Crooks,Comedy,6.7,Woody Allen,Jon Lovitz,Woody Allen,29934477.0,18000000.0
Brother,Crime,7.1,Takeshi Kitano,Tatyana Ali,Omar Epps,15250594.0,10000000.0
Nurse Betty,Comedy,6.2,Neil LaBute,Pruitt Taylor Vince,Morgan Freeman,29364989.0,24000000.0
The House of Mirth,Romance,7.0,Terence Davies,Anthony LaPaglia,Eric Stoltz,5164404.0,10000000.0
Here on Earth,Drama,5.2,Mark Piznarski,Chris Klein,Bruce Greenwood,10873148.0,15000000.0
The Tigger Movie,Animation,6.4,Jun Falkenstein,John Fiedler,Kath Soucie,96159800.0,30000000.0
What Planet Are You From?,Comedy,5.6,Mike Nichols,Linda Fiorentino,Judy Greer,14145677.0,50000000.0
The Specials,Action,5.8,Craig Mazin,James Gunn,Judy Greer,13276.0,1000000.0
Lost Souls,Drama,4.8,Janusz Kaminski,Bob Clendenin,Philip Baker Hall,31355910.0,28000000.0
Digimon: The Movie,Animation,6.1,Directors,Colleen O'Shaughnessey,Lara Jill Miller,16643191.0,5000000.0
The Next Best Thing,Comedy,4.7,John Schlesinger,Rupert Everett,Mark Valley,24362772.0,25000000.0
Gun Shy,Comedy,5.7,Eric Blakeney,Oliver Platt,Liam Neeson,3284444.0,10000000.0
Harry Potter and the Sorcerer's Stone,Adventure,7.6,Chris Columbus,Fiona Shaw,Daniel Radcliffe,1006968171.0,125000000.0
The Fast and the Furious,Action,6.8,Rob Cohen,Vin Diesel,Paul Walker,207305509.0,38000000.0
The Lord of the Rings: The Fellowship of the Ring,Action,8.8,Peter Jackson,Orlando Bloom,Christopher Lee,897690072.0,93000000.0
Legally Blonde,Comedy,6.3,Robert Luketic,Raquel Welch,Linda Cardellini,141774679.0,18000000.0
"Monsters, Inc.",Animation,8.1,Pete Docter,John Ratzenberger,Steve Buscemi,579707738.0,115000000.0
Spirited Away,Animation,8.6,Hayao Miyazaki,Ryûnosuke Kamiki,Bunta Sugawara,355475245.0,19000000.0
Donnie Darko,Drama,8.0,Richard Kelly,Mary McDonnell,Jake Gyllenhaal,6981586.0,4500000.0
Not Another Teen Movie,Comedy,5.7,Joel Gallen,JoAnna Garcia Swisher,Chris Evans,66468985.0,16000000.0
Scary Movie 2,Comedy,5.3,Keenen Ivory Wayans,Veronica Cartwright,Natasha Lyonne,141220678.0,45000000.0
Ocean's Eleven,Crime,7.7,Steven Soderbergh,Bernie Mac,Brad Pitt,450717150.0,85000000.0
Shrek,Animation,7.9,Andrew Adamson,Chris Miller,Kathleen Freeman,487853320.0,60000000.0
Black Hawk Down,Drama,7.7,Ridley Scott,Sam Shepard,Ioan Gruffudd,172989651.0,92000000.0
A Beautiful Mind,Biography,8.2,Ron Howard,Austin Pendleton,Adam Goldberg,316791257.0,58000000.0
The Mummy Returns,Action,6.4,Stephen Sommers,Brendan Fraser,Dwayne Johnson,443280904.0,98000000.0
Pearl Harbor,Action,6.2,Michael Bay,Jaime King,Jennifer Garner,449220945.0,140000000.0
The Royal Tenenbaums,Comedy,7.6,Wes Anderson,Anjelica Huston,Bill Murray,71444482.0,21000000.0
Amélie,Comedy,8.3,Jean-Pierre Jeunet,Jamel Debbouze,Mathieu Kassovitz,173997108.0,77000000.0
Training Day,Crime,7.7,Antoine Fuqua,Snoop Dogg,Denzel Washington,104876233.0,45000000.0
A.I. Artificial Intelligence,Drama,7.2,Steven Spielberg,William Hurt,Haley Joel Osment,235926552.0,100000000.0
Ghost World,Comedy,7.3,Terry Zwigoff,Steve Buscemi,Scarlett Johansson,8764007.0,7000000.0
Super Troopers,Comedy,7.1,Jay Chandrasekhar,Daniel von Bargen,Geoffrey Arend,23182223.0,1200000.0
A Knight's Tale,Action,6.9,Brian Helgeland,Rufus Sewell,Heath Ledger,117487473.0,65000000.0
Blow,Biography,7.6,Ted Demme,Ethan Suplee,Johnny Depp,83282296.0,30000000.0
The Princess Diaries,Comedy,6.4,Garry Marshall,Hector Elizondo,Anne Hathaway,165335153.0,37000000.0
Moulin Rouge!,Drama,7.6,Baz Luhrmann,Kylie Minogue,Jim Broadbent,184935320.0,52500000.0
Vanilla Sky,Fantasy,6.9,Cameron Crowe,Ivana Milicevic,Tom Cruise,203388341.0,68000000.0
Thir13en Ghosts,Fantasy,5.6,Steve Beck,Embeth Davidtz,Shannon Elizabeth,68467960.0,20000000.0
Planet of the Apes,Action,5.7,Tim Burton,Estella Warren,Cary-Hiroyuki Tagawa,362211740.0,100000000.0
The Others,Horror,7.6,Alejandro Amenábar,Elaine Cassidy,Fionnula Flanagan,209947037.0,17000000.0
Joe Dirt,Adventure,6.0,Dennie Gordon,Erik Per Sullivan,Brittany Daniel,30987695.0,17700000.0
Atlantis: The Lost Empire,Animation,6.9,Gary Trousdale,Jim Varney,Leonard Nimoy,186053725.0,120000000.0
Rat Race,Action,6.4,Jerry Zucker,Douglas Haase,Corinna Harney,85498534.0,48000000.0
Summer Catch,Comedy,5.1,Michael Tollin,Brian Dennehy,Marc Blucas,19772447.0,34000000.0
Shallow Hal,Comedy,5.9,Bobby Farrelly,Bruce McGill,Jason Alexander,141069860.0,40000000.0
Zoolander,Comedy,6.5,Ben Stiller,Alexander Skarsgård,Milla Jovovich,60780981.0,28000000.0
Jurassic Park III,Action,5.9,Joe Johnston,Trevor Morgan,Michael Jeter,368780809.0,93000000.0
Enemy at the Gates,Drama,7.6,Jean-Jacques Annaud,Gabriel Thomson,Bob Hoskins,96976270.0,68000000.0
Gosford Park,Comedy,7.2,Robert Altman,Bob Balaban,Kristin Scott Thomas,87754044.0,19800000.0
Swordfish,Action,6.5,Dominic Sena,Don Cheadle,Hugh Jackman,147080413.0,80000000.0
Jeepers Creepers,Horror,6.2,Victor Salva,Patricia Belcher,Eileen Brennan,59371303.0,10000000.0
Hardball,Drama,6.4,Brian Robbins,D.B. Sweeney,Keanu Reeves,44102389.0,21000000.0
Original Sin,Drama,6.1,Michael Cristofer,Gregory Itzin,Angelina Jolie Pitt,35402320.0,42000000.0
Monster's Ball,Drama,7.0,Marc Forster,Peter Boyle,Heath Ledger,45011434.0,4000000.0
Spy Kids,Action,5.5,Robert Rodriguez,Cheech Marin,Alexa PenaVega,147934180.0,35000000.0
Behind Enemy Lines,Action,6.4,John Moore,David Keith,Joaquim de Almeida,91753202.0,40000000.0
Bridget Jones's Diary,Comedy,6.7,Sharon Maguire,Jim Broadbent,Colin Firth,281995610.0,26000000.0
I Am Sam,Drama,7.6,Jessie Nelson,Loretta Devine,Dianne Wiest,97818139.0,22000000.0
The Last Castle,Action,7.0,Rod Lurie,Delroy Lindo,Clifton Collins Jr.,27642707.0,60000000.0
Spy Game,Action,7.1,Tony Scott,Stephen Dillane,Brad Pitt,143049560.0,92000000.0
Lara Croft: Tomb Raider,Action,5.8,Simon West,Noah Taylor,Angelina Jolie Pitt,274703340.0,115000000.0
American Pie 2,Comedy,6.4,J.B. Rogers,Shannon Elizabeth,Alyson Hannigan,287553595.0,30000000.0
Frailty,Crime,7.2,Bill Paxton,Powers Boothe,Matthew McConaughey,17423030.0,11000000.0
Along Came a Spider,Drama,6.4,Lee Tamahori,Billy Burke,Morgan Freeman,105178561.0,60000000.0
Rush Hour 2,Action,6.6,Brett Ratner,John Lone,Mei Melançon,347325802.0,90000000.0
Save the Last Dance,Drama,6.2,Thomas Carter,Terry Kinney,Sean Patrick Thomas,131706809.0,13000000.0
Domestic Disturbance,Crime,5.6,Harold Becker,Teri Polo,Steve Buscemi,54249294.0,53000000.0
Riding in Cars with Boys,Biography,6.5,Penny Marshall,Adam Garcia,Rosie Perez,35743308.0,48000000.0
The Animal,Comedy,4.8,Luke Greenfield,Michael Papajohn,Louis Lombardi,85191134.0,22000000.0
How High,Comedy,6.3,Jesse Dylan,Fred Willard,Hector Elizondo,31283740.0,12000000.0
Joy Ride,Action,6.6,John Dahl,Jessica Bowman,Paul Walker,36642838.0,23000000.0
3000 Miles to Graceland,Action,6.0,Demian Lichtenstein,Bokeem Woodbine,Jon Lovitz,18720175.0,42000000.0
The Score,Action,6.8,Frank Oz,Marlon Brando,Robert De Niro,114252154.0,68000000.0
Jason X,Action,4.4,James Isaac,Kane Hodder,Peter Mensah,17077882.0,11000000.0
Jay and Silent Bob Strike Back,Comedy,6.8,Kevin Smith,Shannon Elizabeth,Will Ferrell,33788161.0,22000000.0
The Mexican,Adventure,6.1,Gore Verbinski,Brad Pitt,J.K. Simmons,147845033.0,34000000.0
From Hell,Horror,6.8,Albert Hughes,Jason Flemyng,Johnny Depp,74558115.0,35000000.0
Crocodile Dundee in Los Angeles,Action,4.8,Simon Wincer,Paul Hogan,Jere Burns,39438674.0,21150000.0
Heist,Action,6.5,David Mamet,Joshua Mikel,Robert De Niro,28510652.0,19000000.0
Serendipity,Comedy,6.9,Peter Chelsom,David Sparrow,Lilli Lavine,77516304.0,28000000.0
The Pledge,Crime,6.8,Sean Penn,Adrien Dorval,Costas Mandylor,29419291.0,45000000.0
American Outlaws,Action,6.0,Les Mayfield,Ronny Cox,Gregory Smith,13678913.0,35000000.0
Ghosts of Mars,Action,4.9,John Carpenter,Clea DuVall,Jason Statham,14010832.0,28000000.0
Rock Star,Drama,6.3,Stephen Herek,Dagmara Dominczyk,Beth Grant,19334145.0,57000000.0
Osmosis Jones,Animation,6.3,Bobby Farrelly,Brandy Norwood,Ron Howard,14026418.0,70000000.0
Saving Silverman,Comedy,5.9,Dennis Dugan,Neil Diamond,Amanda Detmer,26086706.0,22000000.0
The Glass House,Crime,5.8,Daniel Sackheim,Bruce Dern,Chris Noth,23619609.0,30000000.0
The Wedding Planner,Comedy,5.3,Adam Shankman,Judy Greer,Matthew McConaughey,94728529.0,35000000.0
Session 9,Horror,6.4,Brad Anderson,Brendan Sexton III,Paul Guilfoyle,1612259.0,1500000.0
Hedwig and the Angry Inch,Comedy,7.7,John Cameron Mitchell,Miriam Shor,John Cameron Mitchell,3645107.0,6000000.0
Baby Boy,Crime,6.4,John Singleton,Snoop Dogg,Mo'Nique,29381649.0,16000000.0
K-PAX,Drama,7.4,Iain Softley,Jeff Bridges,Kevin Spacey,65001485.0,48000000.0
Freddy Got Fingered,Comedy,4.6,Tom Green,Harland Williams,Rip Torn,14343028.0,15000000.0
Sweet November,Drama,6.7,Pat O'Connor,Charlize Theron,Keanu Reeves,65754228.0,40000000.0
Kate & Leopold,Comedy,6.4,James Mangold,Natasha Lyonne,Hugh Jackman,76019048.0,48000000.0
Don't Say a Word,Drama,6.3,Gary Fleder,Jennifer Esposito,Oliver Platt,100020092.0,50000000.0
Ali,Biography,6.8,Michael Mann,Jada Pinkett Smith,Will Smith,87812729.0,107000000.0
Life as a House,Drama,7.5,Irwin Winkler,Hayden Christensen,Ian Somerhalder,23903791.0,18000000.0
Tomcats,Comedy,5.4,Gregory Poirier,Jake Busey,Shannon Elizabeth,23430766.0,11000000.0
Bandits,Comedy,6.5,Barry Levinson,Brían F. O'Byrne,Bruce Willis,67631903.0,80000000.0
Monkeybone,Animation,4.8,Henry Selick,Bridget Fonda,Brendan Fraser,7622365.0,75000000.0
In the Bedroom,Crime,7.4,Todd Field,Sissy Spacek,Tom Wilkinson,44763181.0,1700000.0
Pootie Tang,Action,5.3,Louis C.K.,J.B. Smoove,Wanda Sykes,3313583.0,3000000.0
Bubble Boy,Adventure,5.6,Blair Hayes,Geoffrey Arend,Jake Gyllenhaal,5007898.0,13000000.0
Josie and the Pussycats,Comedy,5.5,Harry Elfont,Paulo Costanzo,Rosario Dawson,14866015.0,22000000.0
Shaolin Soccer,Action,7.3,Stephen Chow,Karen Mok,Wei Zhao,42776760.0,10000000.0
Jimmy Neutron: Boy Genius,Animation,6.0,John A. Davis,Rob Paulsen,Martin Short,102992536.0,30000000.0
Driven,Action,4.6,Renny Harlin,Estella Warren,Sylvester Stallone,54744738.0,72000000.0
Get Over It,Comedy,5.7,Tommy O'Haver,Kirsten Dunst,Mila Kunis,19900366.0,22000000.0
Exit Wounds,Action,5.6,Andrzej Bartkowiak,Bill Duke,Michael Jai White,79958599.0,33000000.0
The Majestic,Drama,6.9,Frank Darabont,Hal Holbrook,Martin Landau,37317673.0,72000000.0
Valentine,Horror,4.8,Jamie Blanks,Jessica Capshaw,Marley Shelton,36684136.0,10000000.0
Final Fantasy: The Spirits Within,Animation,6.4,Hironobu Sakaguchi,Ming-Na Wen,Steve Buscemi,85131830.0,137000000.0
The One,Action,5.9,James Wong,Jet Li,Jason Statham,74005691.0,49000000.0
Cats & Dogs,Action,5.1,Lawrence Guterman,Elizabeth Perkins,Carol Ann Susi,200687492.0,60000000.0
Hearts in Atlantis,Drama,6.9,Scott Hicks,Mika Boorem,Anthony Hopkins,30919415.0,31000000.0
America's Sweethearts,Comedy,5.7,Joe Roth,Rainn Wilson,Julia Roberts,138307673.0,48000000.0
Kiss of the Dragon,Action,6.6,Chris Nahon,Bridget Fonda,Jet Li,64437847.0,25000000.0
Captain Corelli's Mandolin,Drama,5.9,John Madden,Irene Papas,Christian Bale,62112895.0,57000000.0
The Believer,Drama,7.1,Henry Bean,Theresa Russell,Ryan Gosling,1309316.0,1500000.0
Mean Machine,Comedy,6.5,Barry Skolnick,Jason Flemyng,Jason Statham,7310206.0,2500000.0
The Tailor of Panama,Comedy,6.2,John Boorman,Jamie Lee Curtis,Daniel Radcliffe,28008462.0,18000000.0
Formula 51,Action,6.3,Ronny Yu,Junix Inocian,Meat Loaf,12881605.0,28000000.0
15 Minutes,Action,6.1,John Herzfeld,Charlize Theron,Robert De Niro,56359980.0,42000000.0
Iris,Biography,7.0,Richard Eyre,Jim Broadbent,Kate Winslet,16153953.0,5500000.0
Nowhere in Africa,Biography,7.5,Caroline Link,Juliane Köhler,Merab Ninidze,24322180.0,7000000.0
Crazy/Beautiful,Drama,6.4,John Stockwell,Jay Hernandez,Kirsten Dunst,19937988.0,14000000.0
Angel Eyes,Drama,5.6,Luis Mandoki,Shirley Knight,Sonia Braga,29715606.0,38000000.0
Buffalo Soldiers,Comedy,6.8,Gregor Jordan,Scott Glenn,Dean Stockwell,2300684.0,15000000.0
The Musketeer,Action,4.8,Peter Hyams,Justin Chambers,Catherine Deneuve,32533802.0,40000000.0
O,Drama,6.1,Tim Blake Nelson,Andrew Keegan,Mekhi Phifer,19260537.0,5000000.0
Birthday Girl,Comedy,6.1,Jez Butterworth,Mathieu Kassovitz,Mark Gatiss,16171098.0,13000000.0
Made,Comedy,6.4,Jon Favreau,Faizon Love,Jon Favreau,5480653.0,5000000.0
Dr. Dolittle 2,Comedy,4.7,Steve Carr,Jeffrey Jones,Raven-Symoné,176104344.0,72000000.0
