name,genre,score,director,budget_x,gross_x,actor_2_name,gross_y,actor_1_name,budget_y,gross,budget
Firestarter,Action,6.1,Mark L. Lester,15000000.0,17080167.0,George C. Scott,15100000.0,Heather Locklear,15000000.0,17080167.0,15000000.0
C.H.U.D.,Horror,5.6,Douglas Cheek,1250000.0,4654423.0,John Heard,,Daniel Stern,1250000.0,4654423.0,1250000.0
Star Trek III: The Search for Spock,Action,6.7,Leonard Nimoy,17000000.0,76471046.0,Nichelle Nichols,76400000.0,Leonard Nimoy,17000000.0,76471046.0,17000000.0
Repo Man,Action,6.9,Alex Cox,1500000.0,129000.0,Tracey Walter,,Del Zamora,1500000.0,129000.0,1500000.0
The Cotton Club,Crime,6.5,Francis Ford Coppola,58000000.0,25928721.0,Bob Hoskins,25900000.0,Nicolas Cage,58000000.0,25928721.0,58000000.0
The Ice Pirates,Action,5.7,Stewart Raffill,9000000.0,14255801.0,John Carradine,,Anjelica Huston,9000000.0,14255801.0,9000000.0
A Passage to India,Adventure,7.3,David Lean,16000000.0,27201487.0,Judy Davis,26400000.0,Richard Wilson,16000000.0,27201487.0,16000000.0
The Hotel New Hampshire,Comedy,6.0,Tony Richardson,7500000.0,5142858.0,Beau Bridges,5100000.0,Joely Richardson,7500000.0,5142858.0,7500000.0
Sheena,Adventure,4.9,John Guillermin,25000000.0,5778353.0,Donovan Scott,,Tanya Roberts,25000000.0,5778353.0,25000000.0
Heartbreakers,Drama,5.9,Bobby Roth,,148750.0,Anne Bancroft,40334024.0,Sarah Silverman,35000000.0,148750.0,35000000.0
Back to the Future,Adventure,8.5,Robert Zemeckis,19000000.0,381906762.0,Thomas F. Wilson,210609762.0,Lea Thompson,19000000.0,381906762.0,19000000.0
Rambo: First Blood Part II,Action,6.5,George P. Cosmatos,44000000.0,300400432.0,Julia Nickson,150415432.0,Sylvester Stallone,44000000.0,300400432.0,44000000.0
Legend,Adventure,6.4,Ridley Scott,24500000.0,15502112.0,Paul Anderson,1865774.0,Tom Hardy,30000000.0,15502112.0,30000000.0
The Return of the Living Dead,Comedy,7.3,Dan O'Bannon,4000000.0,14237880.0,Clu Gulager,,Linnea Quigley,4000000.0,14237880.0,4000000.0
Brazil,Drama,7.9,Terry Gilliam,15000000.0,9949953.0,Bob Hoskins,9929000.0,Robert De Niro,15000000.0,9949953.0,15000000.0
Pale Rider,Drama,7.3,Clint Eastwood,6900000.0,41410568.0,Chris Penn,41400000.0,Clint Eastwood,6900000.0,41410568.0,6900000.0
Commando,Action,6.7,Mark L. Lester,10000000.0,57491000.0,Vernon Wells,,Bill Duke,10000000.0,57491000.0,10000000.0
Witness,Crime,7.4,Peter Weir,12000000.0,68706993.0,Viggo Mortensen,65500000.0,Harrison Ford,12000000.0,68706993.0,12000000.0
The Color Purple,Drama,7.8,Steven Spielberg,15000000.0,98467863.0,Rae Dawn Chong,94175854.0,Oprah Winfrey,15000000.0,98467863.0,15000000.0
Silverado,Action,7.2,Lawrence Kasdan,26000000.0,32192570.0,Todd Allen,33200000.0,Scott Glenn,26000000.0,32192570.0,26000000.0
Ladyhawke,Adventure,7.0,Richard Donner,20000000.0,18432000.0,John Wood,,Matthew Broderick,20000000.0,18432000.0,20000000.0
A Room with a View,Drama,7.3,James Ivory,3000000.0,21041453.0,Rupert Graves,20966644.0,Julian Sands,3000000.0,21041453.0,3000000.0
Red Sonja,Action,5.1,Richard Fleischer,17900000.0,6951415.0,Brigitte Nielsen,,Ernie Reyes Jr.,17900000.0,6951415.0,17900000.0
Fright Night,Fantasy,7.1,Tom Holland,9000000.0,24922237.0,Reid Ewing,18298649.0,Grace Phipps,30000000.0,24922237.0,30000000.0
Mad Max Beyond Thunderdome,Action,6.3,George Miller,10000000.0,36230219.0,Bruce Spence,36200000.0,Tina Turner,12305523.0,36230219.0,12305523.0
A View to a Kill,Action,6.3,John Glen,30000000.0,50327960.0,Alison Doody,50300000.0,Patrick Macnee,30000000.0,50327960.0,30000000.0
A Nightmare on Elm Street 2: Freddy's Revenge,Horror,5.5,Jack Sholder,3000000.0,29999213.0,Robert Rusler,30000000.0,Clu Gulager,2200000.0,29999213.0,2200000.0
