name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score
Can't Stop the Music,Biography,4.2,Nancy Walker,Ray Simpson,20000000.0,,Nancy Walker,Randy Jones,2000000.0,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music,20000000.0,4.5
Escape from New York,Action,7.2,John Carpenter,Kurt Russell,6000000.0,25244626.0,John Carpenter,Adrienne Barbeau,25244700.0,Action|Sci-Fi,Donald Pleasence,Escape from New York,6000000.0,7.2
The Evil Dead,Horror,7.5,Sam Raimi,Bruce Campbell,350000.0,2956630.0,Sam Raimi,Betsy Baker,,Fantasy|Horror,Ted Raimi,The Evil Dead,375000.0,7.6
Porky's,Comedy,6.2,Bob Clark,Dan Monahan,2500000.0,111289673.0,Bob Clark,Susan Clark,105500000.0,Comedy,Art Hindle,Porky's,4000000.0,6.2
Blow Out,Crime,7.4,Brian De Palma,John Travolta,18000000.0,12000000.0,Brian De Palma,Dennis Franz,,Mystery|Thriller,Nancy Allen,Blow Out,18000000.0,7.4
Clash of the Titans,Action,6.9,Desmond Davis,Laurence Olivier,15000000.0,41092328.0,Louis Leterrier,Jason Flemyng,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans,125000000.0,5.8
Clash of the Titans,Action,6.9,Desmond Davis,Laurence Olivier,15000000.0,41092328.0,Louis Leterrier,Jason Flemyng,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans,125000000.0,5.8
Clash of the Titans,Action,5.8,Louis Leterrier,Sam Worthington,125000000.0,493214993.0,Louis Leterrier,Jason Flemyng,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans,125000000.0,5.8
Clash of the Titans,Action,5.8,Louis Leterrier,Sam Worthington,125000000.0,493214993.0,Louis Leterrier,Jason Flemyng,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans,125000000.0,5.8
Das Boot,Adventure,8.3,Wolfgang Petersen,Jürgen Prochnow,,11487676.0,Wolfgang Petersen,Martin Semmelrogge,11433134.0,Adventure|Drama|Thriller|War,Jürgen Prochnow,Das Boot,14000000.0,8.4
Stripes,Comedy,6.9,Ivan Reitman,Bill Murray,10000000.0,85297000.0,Ivan Reitman,Harold Ramis,85300000.0,Action|Comedy|War,Bill Murray,Stripes,10000000.0,6.9
Endless Love,Drama,4.9,Franco Zeffirelli,Brooke Shields,,32492674.0,Shana Feste,Bruce Greenwood,23393765.0,Drama|Romance,Alex Pettyfer,Endless Love,20000000.0,6.3
Endless Love,Drama,6.3,Shana Feste,Gabriella Wilde,20000000.0,34718173.0,Shana Feste,Bruce Greenwood,23393765.0,Drama|Romance,Alex Pettyfer,Endless Love,20000000.0,6.3
Time Bandits,Adventure,7.0,Terry Gilliam,Sean Connery,5000000.0,42368025.0,Terry Gilliam,Michael Palin,42365600.0,Adventure|Comedy|Fantasy|Sci-Fi,Shelley Duvall,Time Bandits,5000000.0,7.0
The Four Seasons,Comedy,6.8,Alan Alda,Alan Alda,,50427646.0,Alan Alda,Len Cariou,,Comedy|Drama,Rita Moreno,The Four Seasons,,7.2
Friday the 13th Part 2,Horror,6.1,Steve Miner,Betsy Palmer,1250000.0,21722776.0,Steve Miner,Adrienne King,19100000.0,Horror|Mystery|Thriller,Betsy Palmer,Friday the 13th Part 2,1250000.0,6.1
For Your Eyes Only,Action,6.7,John Glen,Roger Moore,28000000.0,54813222.0,John Glen,Topol,62300000.0,Action|Adventure|Thriller,Julian Glover,For Your Eyes Only,28000000.0,6.8
Halloween II,Horror,6.5,Rick Rosenthal,Jamie Lee Curtis,2500000.0,25533818.0,Rob Zombie,Tyler Mane,33386128.0,Horror,Scout Taylor-Compton,Halloween II,15000000.0,4.9
Halloween II,Horror,6.5,Rick Rosenthal,Jamie Lee Curtis,2500000.0,25533818.0,Rob Zombie,Tyler Mane,33386128.0,Horror,Scout Taylor-Compton,Halloween II,15000000.0,4.9
Halloween II,Horror,4.8,Rob Zombie,Scout Taylor-Compton,15000000.0,39421467.0,Rob Zombie,Tyler Mane,33386128.0,Horror,Scout Taylor-Compton,Halloween II,15000000.0,4.9
Halloween II,Horror,4.8,Rob Zombie,Scout Taylor-Compton,15000000.0,39421467.0,Rob Zombie,Tyler Mane,33386128.0,Horror,Scout Taylor-Compton,Halloween II,15000000.0,4.9
Reds,Biography,7.3,Warren Beatty,Warren Beatty,32000000.0,40382659.0,Warren Beatty,Warren Beatty,,Biography|Drama|History|Romance,Paul Sorvino,Reds,35000000.0,7.5
Chariots of Fire,Biography,7.2,Hugh Hudson,Ben Cross,5500000.0,59303359.0,Hugh Hudson,Ben Cross,58800000.0,Biography|Drama|Sport,Alice Krige,Chariots of Fire,5500000.0,7.2
Arthur,Comedy,6.9,Steve Gordon,Dudley Moore,7000000.0,95461682.0,,Melissa Altro,,Animation|Comedy|Family,Bruce Dinsmore,Arthur,,7.4
History of the World: Part I,Comedy,6.9,Mel Brooks,Mel Brooks,11000000.0,31672907.0,Mel Brooks,Sid Caesar,,Comedy,Madeline Kahn,History of the World: Part I,11000000.0,6.9
History of the World: Part I,Comedy,6.9,Mel Brooks,Mel Brooks,11000000.0,31672907.0,Mel Brooks,Sid Caesar,,Comedy,Madeline Kahn,History of the World: Part I,11000000.0,6.9
The Howling,Horror,6.6,Joe Dante,Dee Wallace,1000000.0,17985893.0,Joe Dante,Robert Picardo,17986000.0,Horror,Patrick Macnee,The Howling,1000000.0,6.6
Dragonslayer,Action,6.7,Matthew Robbins,Peter MacNicol,18000000.0,14110013.0,Matthew Robbins,Ralph Richardson,6000000.0,Action|Adventure|Fantasy,Ian McDiarmid,Dragonslayer,18000000.0,6.7
Quest for Fire,Adventure,7.3,Jean-Jacques Annaud,Everett McGill,12500000.0,20962615.0,Jean-Jacques Annaud,Everett McGill,,Adventure|Drama|History,Rae Dawn Chong,Quest for Fire,12500000.0,7.4
Mommie Dearest,Biography,6.7,Frank Perry,Faye Dunaway,5000000.0,19032261.0,Frank Perry,Xander Berkeley,,Biography|Drama,Faye Dunaway,Mommie Dearest,5000000.0,6.7
The Postman Always Rings Twice,Crime,6.6,Bob Rafelson,Jack Nicholson,12000000.0,12376625.0,Bob Rafelson,Michael Lerner,,Crime|Drama|Romance|Thriller,Anjelica Huston,The Postman Always Rings Twice,12000000.0,6.6
The Beyond,Horror,6.8,Lucio Fulci,Catriona MacColl,400000.0,123843.0,Lucio Fulci,David Warbeck,126387.0,Horror,Catriona MacColl,The Beyond,400000.0,6.9
My Bloody Valentine,Horror,6.3,George Mihalka,Paul Kelman,,5672031.0,Patrick Lussier,Jaime King,51527787.0,Horror|Thriller,Jensen Ackles,My Bloody Valentine,15000000.0,5.5
My Bloody Valentine,Horror,5.4,Patrick Lussier,Jensen Ackles,15000000.0,100734718.0,Patrick Lussier,Jaime King,51527787.0,Horror|Thriller,Jensen Ackles,My Bloody Valentine,15000000.0,5.5
Nighthawks,Action,6.4,Bruce Malmuth,Sylvester Stallone,5000000.0,19905359.0,Bruce Malmuth,Lindsay Wagner,,Action|Crime|Thriller,Sylvester Stallone,Nighthawks,5000000.0,6.4
Neighbors,Comedy,5.6,John G. Avildsen,John Belushi,8500000.0,29916207.0,Nicholas Stoller,Carla Gallo,150056505.0,Comedy,Craig Roberts,Neighbors,18000000.0,6.4
Neighbors,Comedy,6.3,Nicholas Stoller,Seth Rogen,18000000.0,270665134.0,Nicholas Stoller,Carla Gallo,150056505.0,Comedy,Craig Roberts,Neighbors,18000000.0,6.4
Under the Rainbow,Comedy,5.4,Steve Rash,Chevy Chase,20000000.0,18826490.0,Steve Rash,Adam Arkin,8500000.0,Comedy,Mako,Under the Rainbow,20000000.0,5.4
Quartet,Drama,6.3,James Ivory,Isabelle Adjani,,12042.0,Dustin Hoffman,Sheridan Smith,18381787.0,Comedy|Drama,Luke Newberry,Quartet,11000000.0,6.8
Quartet,Comedy,6.8,Dustin Hoffman,Maggie Smith,11000000.0,59520298.0,Dustin Hoffman,Sheridan Smith,18381787.0,Comedy|Drama,Luke Newberry,Quartet,11000000.0,6.8
