name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score
Boys Don't Cry,Biography,7.5,Kimberly Peirce,Hilary Swank,2000000.0,11540607.0,Kimberly Peirce,Brendan Sexton III,11533945.0,Biography|Crime|Drama|Romance,Alicia Goranson,Boys Don't Cry,2000000.0,7.6
8MM,Crime,6.5,Joel Schumacher,Nicolas Cage,40000000.0,96618699.0,Joel Schumacher,Chris Bauer,36283504.0,Mystery|Thriller,Nicolas Cage,8MM,40000000.0,6.5
House on Haunted Hill,Crime,5.6,William Malone,Geoffrey Rush,37000000.0,42593455.0,William Malone,Peter Gallagher,40846082.0,Horror|Mystery|Thriller,Jeffrey Combs,House on Haunted Hill,19000000.0,5.6
But I'm a Cheerleader,Comedy,6.7,Jamie Babbit,Natasha Lyonne,1200000.0,2595216.0,Jamie Babbit,Clea DuVall,2199853.0,Comedy|Drama,Natasha Lyonne,But I'm a Cheerleader,1200000.0,6.6
Jawbreaker,Comedy,5.6,Darren Stein,Rose McGowan,3500000.0,3117085.0,Darren Stein,Judy Greer,3071947.0,Comedy|Crime|Thriller,Julie Benz,Jawbreaker,3500000.0,5.4
The Bone Collector,Crime,6.7,Phillip Noyce,Denzel Washington,73000000.0,151493655.0,Phillip Noyce,Angelina Jolie Pitt,66488090.0,Crime|Drama|Mystery|Thriller,Denzel Washington,The Bone Collector,48000000.0,6.7
Any Given Sunday,Drama,6.9,Oliver Stone,Al Pacino,55000000.0,100230832.0,Oliver Stone,Dennis Quaid,75530832.0,Drama|Sport,Al Pacino,Any Given Sunday,55000000.0,6.8
A Walk on the Moon,Drama,6.6,Tony Goldwyn,Diane Lane,14000000.0,4750660.0,Tony Goldwyn,Julie Kavner,4741987.0,Drama,Viggo Mortensen,A Walk on the Moon,14000000.0,6.6
Summer of Sam,Crime,6.7,Spike Lee,John Leguizamo,22000000.0,19288130.0,Spike Lee,Jennifer Esposito,19283782.0,Crime|Drama|Romance|Thriller,Mira Sorvino,Summer of Sam,22000000.0,6.6
The Haunting,Fantasy,5.0,Jan de Bont,Liam Neeson,80000000.0,177311151.0,Jan de Bont,Lili Taylor,91188905.0,Fantasy|Horror|Mystery|Thriller,Liam Neeson,The Haunting,80000000.0,4.9
eXistenZ,Horror,6.8,David Cronenberg,Jude Law,15000000.0,2856712.0,David Cronenberg,Sarah Polley,2840417.0,Horror|Sci-Fi|Thriller,Jennifer Jason Leigh,eXistenZ,31000000.0,6.8
For Love of the Game,Drama,6.6,Sam Raimi,Kevin Costner,80000000.0,46112640.0,Sam Raimi,Kelly Preston,35168395.0,Drama|Romance|Sport,J.K. Simmons,For Love of the Game,50000000.0,6.5
Bringing Out the Dead,Drama,6.8,Martin Scorsese,Nicolas Cage,55000000.0,16797191.0,Martin Scorsese,Marc Anthony,16640210.0,Drama|Thriller,Nicolas Cage,Bringing Out the Dead,55000000.0,6.8
Three Kings,Action,7.1,David O. Russell,George Clooney,75000000.0,107752036.0,David O. Russell,Jamie Kennedy,60652036.0,Action|Adventure|Comedy|Drama|War,Judy Greer,Three Kings,48000000.0,7.1
Go,Comedy,7.2,Doug Liman,Sarah Polley,20000000.0,28451622.0,Doug Liman,Jay Mohr,16842303.0,Comedy|Crime,Sarah Polley,Go,6500000.0,7.3
Payback,Action,7.1,Brian Helgeland,Mel Gibson,90000000.0,161626121.0,Brian Helgeland,Deborah Kara Unger,81517441.0,Action|Crime|Drama|Thriller,Bill Duke,Payback,50000000.0,7.1
The Straight Story,Biography,8.0,David Lynch,Richard Farnsworth,10000000.0,6416569.0,David Lynch,Richard Farnsworth,6197866.0,Biography|Drama,Sissy Spacek,The Straight Story,10000000.0,8.0
Idle Hands,Comedy,6.2,Rodman Flender,Devon Sawa,25000000.0,4152230.0,Rodman Flender,Fred Willard,4002955.0,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,Idle Hands,20000000.0,6.2
Bowfinger,Comedy,6.4,Frank Oz,Steve Martin,55000000.0,98625775.0,Frank Oz,Adam Alexi-Malle,66365290.0,Comedy,Robert Downey Jr.,Bowfinger,55000000.0,6.4
Detroit Rock City,Comedy,6.9,Adam Rifkin,Edward Furlong,34000000.0,4217115.0,Adam Rifkin,Lin Shaye,4193025.0,Comedy|Music,Natasha Lyonne,Detroit Rock City,15000000.0,6.8
The General's Daughter,Crime,6.4,Simon West,John Travolta,95000000.0,149705852.0,Simon West,Timothy Hutton,102678089.0,Drama|Mystery|Thriller,Daniel von Bargen,The General's Daughter,95000000.0,6.3
The Messenger: The Story of Joan of Arc,Adventure,6.4,Luc Besson,Milla Jovovich,85000000.0,66976317.0,Luc Besson,David Bailie,14131298.0,Adventure|Biography|Drama|History|War,Paul Brooke,The Messenger: The Story of Joan of Arc,390000000.0,6.4
Man on the Moon,Biography,7.4,Milos Forman,Jim Carrey,82000000.0,47434430.0,Milos Forman,Gerry Becker,34580635.0,Biography|Comedy|Drama,Matt Price,Man on the Moon,52000000.0,7.4
Ravenous,Adventure,7.0,Antonia Bird,Guy Pearce,12000000.0,2062405.0,Antonia Bird,Jeffrey Jones,2060953.0,Fantasy|Horror|Thriller,Jeremy Davies,Ravenous,12000000.0,7.1
Entrapment,Action,6.3,Jon Amiel,Sean Connery,66000000.0,212404396.0,Jon Amiel,Kevin McNally,87704396.0,Action|Crime|Romance|Thriller,Will Patton,Entrapment,66000000.0,6.2
Stir of Echoes,Horror,7.0,David Koepp,Kevin Bacon,12000000.0,21142914.0,David Koepp,Kathryn Erbe,21133087.0,Horror|Mystery|Thriller,Illeana Douglas,Stir of Echoes,12000000.0,7.0
Ghost Dog: The Way of the Samurai,Action,7.5,Jim Jarmusch,Forest Whitaker,,9380473.0,Jim Jarmusch,Gano Grills,3300230.0,Action|Crime|Drama|Thriller,Henry Silva,Ghost Dog: The Way of the Samurai,,7.5
Bicentennial Man,Comedy,6.9,Chris Columbus,Robin Williams,100000000.0,87423861.0,Chris Columbus,Oliver Platt,58220776.0,Comedy|Drama|Sci-Fi,Robin Williams,Bicentennial Man,100000000.0,6.8
Runaway Bride,Comedy,5.6,Garry Marshall,Julia Roberts,70000000.0,309460292.0,Garry Marshall,Christopher Meloni,152149590.0,Comedy|Romance,Julia Roberts,Runaway Bride,70000000.0,5.5
The Thirteenth Floor,Mystery,7.1,Josef Rusnak,Craig Bierko,16000000.0,18564088.0,Josef Rusnak,Craig Bierko,15500000.0,Mystery|Sci-Fi|Thriller,Gretchen Mol,The Thirteenth Floor,16000000.0,7.0
Inspector Gadget,Action,4.2,David Kellogg,Matthew Broderick,90000000.0,134403112.0,David Kellogg,Rene Auberjonois,97360069.0,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,Inspector Gadget,75000000.0,4.1
Arlington Road,Action,7.2,Mark Pellington,Jeff Bridges,31000000.0,41067311.0,Mark Pellington,Spencer Treat Clark,24362501.0,Crime|Drama|Thriller,Jeff Bridges,Arlington Road,21500000.0,7.2
The Hurricane,Biography,7.6,Norman Jewison,Denzel Washington,50000000.0,73956241.0,Norman Jewison,Vincent Pastore,50668906.0,Biography|Drama|Sport,Denzel Washington,The Hurricane,38000000.0,7.6
Drive Me Crazy,Comedy,5.8,John Schultz,Melissa Joan Hart,8500000.0,22593409.0,John Schultz,Mark Webber,17843379.0,Comedy|Drama|Romance,Stephen Collins,Drive Me Crazy,8000000.0,5.7
Blue Streak,Action,6.3,Les Mayfield,Martin Lawrence,65000000.0,117758500.0,Les Mayfield,Dave Chappelle,68208190.0,Action|Comedy|Crime|Thriller,Peter Greene,Blue Streak,65000000.0,6.3
The Limey,Crime,7.0,Steven Soderbergh,Terence Stamp,10000000.0,3325736.0,Steven Soderbergh,Lesley Ann Warren,3193102.0,Crime|Drama|Mystery|Thriller,Peter Fonda,The Limey,9000000.0,7.1
Message in a Bottle,Drama,6.2,Luis Mandoki,Kevin Costner,80000000.0,118880016.0,Luis Mandoki,John Savage,52799004.0,Drama|Romance,Robin Wright,Message in a Bottle,55000000.0,6.1
Stigmata,Horror,6.2,Rupert Wainwright,Patricia Arquette,29000000.0,89446268.0,Rupert Wainwright,Enrico Colantoni,50041732.0,Horror,Nia Long,Stigmata,29000000.0,6.2
Analyze This,Comedy,6.7,Harold Ramis,Robert De Niro,80000000.0,176885658.0,Harold Ramis,Chazz Palminteri,106694016.0,Comedy|Crime,Robert De Niro,Analyze This,30000000.0,6.7
Human Traffic,Comedy,7.1,Justin Kerrigan,John Simm,,104257.0,Justin Kerrigan,John Simm,104257.0,Comedy|Music,Danny Dyer,Human Traffic,2200000.0,7.1
Brokedown Palace,Drama,6.5,Jonathan Kaplan,Claire Danes,25000000.0,10115013.0,Jonathan Kaplan,Tom Amandes,10114315.0,Drama|Mystery|Thriller,John Doe,Brokedown Palace,25000000.0,6.4
Superstar,Comedy,5.1,Bruce McCulloch,Molly Shannon,34000000.0,30636478.0,Bruce McCulloch,Elaine Hendrix,30628981.0,Comedy|Romance,Will Ferrell,Superstar,14000000.0,5.0
The Best Man,Comedy,6.8,Malcolm D. Lee,Taye Diggs,9000000.0,34573780.0,Malcolm D. Lee,Sanaa Lathan,34074895.0,Comedy|Drama,Harold Perrineau,The Best Man,9000000.0,6.7
Dick,Comedy,6.2,Andrew Fleming,Kirsten Dunst,13000000.0,6262878.0,Andrew Fleming,Will Ferrell,6241697.0,Comedy,Ryan Reynolds,Dick,13000000.0,6.1
Angela's Ashes,Biography,7.3,Alan Parker,Emily Watson,50000000.0,13042112.0,Alan Parker,Devon Murray,13038660.0,Drama,Emily Watson,Angela's Ashes,25000000.0,7.3
Anna and the King,Drama,6.7,Andy Tennant,Jodie Foster,92000000.0,113996937.0,Andy Tennant,Geoffrey Palmer,39251128.0,Drama|History|Romance,Bai Ling,Anna and the King,75000000.0,6.7
The End of the Affair,Drama,7.1,Neil Jordan,Ralph Fiennes,23000000.0,10827816.0,Neil Jordan,Ian Hart,10660147.0,Drama|Romance,Stephen Rea,The End of the Affair,23000000.0,7.2
"Mystery, Alaska",Comedy,6.7,Jay Roach,Russell Crowe,28000000.0,8891623.0,Jay Roach,Mary McCormack,8888143.0,Comedy|Drama|Sport,Scott Grimes,"Mystery, Alaska",28000000.0,6.7
Baby Geniuses,Comedy,2.7,Bob Clark,Kathleen Turner,12000000.0,36450736.0,Bob Clark,Dom DeLuise,27141959.0,Comedy|Crime|Family|Sci-Fi,Kathleen Turner,Baby Geniuses,18000000.0,2.5
My Favorite Martian,Comedy,5.1,Donald Petrie,Christopher Lloyd,65000000.0,36850101.0,Donald Petrie,Ray Walston,36830057.0,Comedy|Family|Sci-Fi,Steven Anthony Lawrence,My Favorite Martian,65000000.0,4.9
Anywhere But Here,Comedy,6.2,Wayne Wang,Susan Sarandon,23000000.0,23631929.0,Wayne Wang,Eva Amurri Martino,18653615.0,Comedy|Drama,Natalie Portman,Anywhere But Here,23000000.0,6.1
Ride with the Devil,Drama,6.7,Ang Lee,Tobey Maguire,38000000.0,635096.0,Ang Lee,Jeffrey Dover,630779.0,Drama|Romance|War|Western,Jeremy W. Auman,Ride with the Devil,35000000.0,6.8
200 Cigarettes,Comedy,6.0,Risa Bramon Garcia,Ben Affleck,6000000.0,6852450.0,Risa Bramon Garcia,Dave Chappelle,6851636.0,Comedy|Drama|Romance,Janeane Garofalo,200 Cigarettes,6000000.0,5.9
Edtv,Comedy,6.1,Ron Howard,Matthew McConaughey,80000000.0,35242897.0,Ron Howard,Adam Goldberg,22362500.0,Comedy|Drama,Matthew McConaughey,Edtv,55000000.0,6.1
Sunshine,Drama,7.5,István Szabó,Ralph Fiennes,,7918035.0,Danny Boyle,Benedict Wong,3675072.0,Adventure|Sci-Fi|Thriller,Chris Evans,Sunshine,26000000.0,7.3
Sunshine,Sci-Fi,7.2,Danny Boyle,Cillian Murphy,,34806812.0,Danny Boyle,Benedict Wong,3675072.0,Adventure|Sci-Fi|Thriller,Chris Evans,Sunshine,26000000.0,7.3
Random Hearts,Drama,5.2,Sydney Pollack,Harrison Ford,64000000.0,74608570.0,Sydney Pollack,Kristin Scott Thomas,31054924.0,Drama|Mystery|Romance,Harrison Ford,Random Hearts,64000000.0,5.1
Mickey Blue Eyes,Comedy,5.9,Kelly Makin,Hugh Grant,75000000.0,54264342.0,Kelly Makin,Burt Young,33864342.0,Comedy|Crime|Romance,Jeanne Tripplehorn,Mickey Blue Eyes,40000000.0,5.8
Fantasia 2000,Animation,7.2,Directors,James Levine,80000000.0,90874570.0,James Algar,Penn Jillette,60507228.0,Animation|Family|Fantasy|Music,Quincy Jones,Fantasia 2000,80000000.0,7.3
The Rage: Carrie 2,Horror,4.7,Katt Shea,Emily Bergl,21000000.0,17762705.0,Katt Shea,Rachel Blanchard,17757087.0,Horror|Sci-Fi|Thriller,Jason London,The Rage: Carrie 2,21000000.0,4.6
The Astronaut's Wife,Drama,5.4,Rand Ravich,Charlize Theron,75000000.0,19598588.0,Rand Ravich,Charlize Theron,10654581.0,Drama|Sci-Fi|Thriller,Johnny Depp,The Astronaut's Wife,34000000.0,5.3
The Astronaut's Wife,Drama,5.4,Rand Ravich,Charlize Theron,75000000.0,19598588.0,Rand Ravich,Charlize Theron,10654581.0,Drama|Sci-Fi|Thriller,Johnny Depp,The Astronaut's Wife,34000000.0,5.3
Muppets from Space,Adventure,6.3,Tim Hill,Dave Goelz,24000000.0,22323612.0,Tim Hill,F. Murray Abraham,16290976.0,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,Josh Charles,Muppets from Space,24000000.0,6.2
Eye of the Beholder,Drama,5.0,Stephan Elliott,Ewan McGregor,35000000.0,17589705.0,Stephan Elliott,Patrick Bergin,16459004.0,Drama|Mystery|Thriller,Jason Priestley,Eye of the Beholder,15000000.0,4.9
The Wood,Comedy,7.0,Rick Famuyiwa,Elayn J. Taylor,6000000.0,25059640.0,Rick Famuyiwa,Tamala Jones,25047631.0,Comedy|Drama|Romance,Omar Epps,The Wood,6000000.0,6.9
Flawless,Comedy,6.5,Joel Schumacher,Robert De Niro,15000000.0,4488529.0,Joel Schumacher,Philip Seymour Hoffman,4485485.0,Comedy|Crime|Drama,Robert De Niro,Flawless,15000000.0,6.4
Love Stinks,Comedy,5.8,Jeff Franklin,French Stewart,4000000.0,2924635.0,Jeff Franklin,Tyra Banks,2800000.0,Comedy,Ivana Milicevic,Love Stinks,4000000.0,5.8
Pushing Tin,Comedy,6.0,Mike Newell,John Cusack,33000000.0,8408835.0,Mike Newell,Kurt Fuller,8406264.0,Comedy|Drama|Romance,Angelina Jolie Pitt,Pushing Tin,38000000.0,6.0
The Adventures of Elmo in Grouchland,Adventure,5.8,Gary Halvorson,Kevin Clash,26000000.0,11683047.0,Gary Halvorson,Kevin Clash,11634458.0,Adventure|Comedy|Family|Fantasy|Musical,Vanessa Williams,The Adventures of Elmo in Grouchland,17000000.0,5.8
In Dreams,Drama,5.5,Neil Jordan,Annette Bening,30000000.0,12017369.0,Neil Jordan,Aidan Quinn,11900000.0,Drama|Fantasy|Thriller,Robert Downey Jr.,In Dreams,30000000.0,5.5
Topsy-Turvy,Biography,7.4,Mike Leigh,Jim Broadbent,,6208548.0,Mike Leigh,Dexter Fletcher,6201757.0,Biography|Comedy|Drama|History|Music|Musical,Jim Broadbent,Topsy-Turvy,10000000.0,7.4
Instinct,Drama,6.6,Jon Turteltaub,Anthony Hopkins,80000000.0,34105207.0,Jon Turteltaub,Maura Tierney,34098563.0,Drama|Thriller,Anthony Hopkins,Instinct,55000000.0,6.5
Dudley Do-Right,Comedy,3.9,Hugh Wilson,Brendan Fraser,70000000.0,9974410.0,Hugh Wilson,Alex Rocco,9694105.0,Comedy|Family|Romance,Brendan Fraser,Dudley Do-Right,22000000.0,3.8
The Deep End of the Ocean,Drama,6.4,Ulu Grosbard,Michelle Pfeiffer,38000000.0,28121100.0,Ulu Grosbard,Treat Williams,13376506.0,Drama,Alexa PenaVega,The Deep End of the Ocean,40000000.0,6.3
Outside Providence,Comedy,6.4,Michael Corrente,Shawn Hatosy,7000000.0,7302522.0,Michael Corrente,George Wendt,7292175.0,Comedy|Drama|Romance,Jonathan Brandis,Outside Providence,7000000.0,6.4
Simply Irresistible,Comedy,5.3,Mark Tarlov,Sarah Michelle Gellar,6000000.0,4398989.0,Mark Tarlov,Dylan Baker,4394936.0,Comedy|Drama|Fantasy|Romance,Sarah Michelle Gellar,Simply Irresistible,6000000.0,5.3
The Story of Us,Comedy,6.0,Rob Reiner,Bruce Willis,50000000.0,58900031.0,Rob Reiner,Tim Matheson,27067160.0,Comedy|Drama|Romance,Bruce Willis,The Story of Us,50000000.0,5.9
East Is East,Comedy,6.9,Damien O'Donnell,Om Puri,,4177818.0,Damien O'Donnell,Jimi Mistry,4170647.0,Comedy|Drama,Archie Panjabi,East Is East,1900000.0,6.9
Bats,Horror,3.9,Louis Morneau,Lou Diamond Phillips,5250000.0,10155690.0,Louis Morneau,Bob Gunton,10149779.0,Horror|Sci-Fi|Thriller,Leon,Bats,6500000.0,3.6
At First Sight,Drama,6.0,Irwin Winkler,Val Kilmer,60000000.0,22365133.0,Irwin Winkler,Nathan Lane,22326247.0,Drama|Romance,Mira Sorvino,At First Sight,60000000.0,5.9
An Ideal Husband,Comedy,6.8,Oliver Parker,Rupert Everett,14000000.0,18542974.0,Oliver Parker,Rupert Everett,18535191.0,Comedy|Romance,Minnie Driver,An Ideal Husband,14000000.0,6.9
Tea with Mussolini,Comedy,6.9,Franco Zeffirelli,Maggie Smith,12000000.0,14401563.0,Franco Zeffirelli,Joan Plowright,14348123.0,Comedy|Drama|War,Lily Tomlin,Tea with Mussolini,12000000.0,6.9
Three to Tango,Comedy,6.1,Damon Santostefano,Neve Campbell,20000000.0,10570375.0,Damon Santostefano,Oliver Platt,10544143.0,Comedy|Romance,Matthew Perry,Three to Tango,20000000.0,6.1
Mumford,Comedy,6.8,Lawrence Kasdan,Loren Dean,28000000.0,4555459.0,Lawrence Kasdan,Alfre Woodard,4554569.0,Comedy|Drama,Zooey Deschanel,Mumford,28000000.0,6.9
Wing Commander,Action,4.3,Chris Roberts,Freddie Prinze Jr.,30000000.0,11578059.0,Chris Roberts,David Suchet,11576087.0,Action|Adventure|Sci-Fi,Saffron Burrows,Wing Commander,30000000.0,4.1
The Corruptor,Action,6.1,James Foley,Chow Yun-Fat,25000000.0,24493601.0,James Foley,Paul Ben-Victor,15156200.0,Action|Crime|Drama|Mystery|Thriller,Byron Mann,The Corruptor,30000000.0,6.0
Snow Falling on Cedars,Drama,6.8,Scott Hicks,Ethan Hawke,35000000.0,23049593.0,Scott Hicks,Reeve Carney,14378353.0,Drama|Mystery|Romance|Thriller,Rick Yune,Snow Falling on Cedars,36000000.0,6.8
The Love Letter,Comedy,5.5,Peter Ho-Sun Chan,Kate Capshaw,20000000.0,9177355.0,Dan Curtis,Campbell Scott,,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter,,7.4
The Love Letter,Comedy,5.5,Peter Ho-Sun Chan,Kate Capshaw,20000000.0,9177355.0,Dan Curtis,Campbell Scott,,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter,,7.4
The Bachelor,Comedy,5.1,Gary Sinyor,Chris O'Donnell,51000000.0,36911617.0,,,,Game-Show|Reality-TV|Romance,Chris Harrison,The Bachelor,3000000.0,2.9
In Too Deep,Crime,6.3,Michael Rymer,Omar Epps,7000000.0,14011454.0,Michael Rymer,Omar Epps,14003141.0,Crime|Drama|Thriller,LL Cool J,In Too Deep,7000000.0,6.1
Crazy in Alabama,Comedy,6.2,Antonio Banderas,Melanie Griffith,15000000.0,2005840.0,Antonio Banderas,Elizabeth Perkins,1954202.0,Comedy|Crime|Drama,Meat Loaf,Crazy in Alabama,15000000.0,6.3
Play It to the Bone,Comedy,5.5,Ron Shelton,Woody Harrelson,24000000.0,8678812.0,Ron Shelton,Robert Wagner,8427204.0,Comedy|Drama|Sport,Willie Garson,Play It to the Bone,24000000.0,5.4
Jakob the Liar,Drama,6.5,Peter Kassovitz,Robin Williams,45000000.0,4956401.0,Peter Kassovitz,Mark Margolis,4956401.0,Drama|War,Robin Williams,Jakob the Liar,15000000.0,6.5
Cradle Will Rock,Drama,6.8,Tim Robbins,Hank Azaria,36000000.0,2986932.0,Tim Robbins,Vanessa Redgrave,2899970.0,Drama,Bill Murray,Cradle Will Rock,32000000.0,6.9
Breakfast of Champions,Comedy,4.6,Alan Rudolph,Bruce Willis,12000000.0,178278.0,Alan Rudolph,Albert Finney,175370.0,Comedy,Bruce Willis,Breakfast of Champions,12000000.0,4.6
A Room for Romeo Brass,Comedy,7.6,Shane Meadows,Martin Arrowsmith,,19478.0,Shane Meadows,Paddy Considine,18434.0,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass,,7.7
The Loss of Sexual Innocence,Drama,5.4,Mike Figgis,Julian Sands,4000000.0,164022.0,Mike Figgis,Saffron Burrows,399793.0,Drama,Kelly Macdonald,The Loss of Sexual Innocence,4000000.0,5.4
Aimee & Jaguar,Biography,7.2,Max Färberböck,Maria Schrader,,927107.0,Max Färberböck,Johanna Wokalek,927107.0,Biography|Drama|Romance|War,Heike Makatsch,Aimee & Jaguar,15000000.0,7.3
The Out-of-Towners,Comedy,5.5,Sam Weisman,Steve Martin,75000000.0,28544120.0,Sam Weisman,Valerie Perri,28535768.0,Comedy,Oliver Hudson,The Out-of-Towners,40000000.0,5.3
Jesus' Son,Drama,6.9,Alison Maclean,Billy Crudup,2500000.0,1302067.0,Alison Maclean,Samantha Morton,1282084.0,Drama,Billy Crudup,Jesus' Son,2500000.0,7.0
"Happy, Texas",Comedy,6.3,Mark Illsley,Jeremy Northam,2500000.0,1955933.0,Mark Illsley,Illeana Douglas,1943649.0,Comedy|Crime|Romance,Ally Walker,"Happy, Texas",1700000.0,6.3
Almost Famous,Adventure,7.9,Cameron Crowe,Billy Crudup,60000000.0,47386287.0,Cameron Crowe,Zooey Deschanel,32522352.0,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,Almost Famous,60000000.0,7.9
American Psycho,Comedy,7.6,Mary Harron,Christian Bale,7000000.0,34266564.0,Mary Harron,Justin Theroux,15047419.0,Crime|Drama,Christian Bale,American Psycho,7000000.0,7.6
Snatch,Comedy,8.3,Guy Ritchie,Jason Statham,,83557872.0,Guy Ritchie,Brad Pitt,30093107.0,Comedy|Crime,Jason Statham,Snatch,6000000.0,8.3
Snatch,Comedy,8.3,Guy Ritchie,Jason Statham,,83557872.0,Guy Ritchie,Brad Pitt,30093107.0,Comedy|Crime,Jason Statham,Snatch,6000000.0,8.3
Requiem for a Dream,Drama,8.3,Darren Aronofsky,Ellen Burstyn,4500000.0,7390108.0,Darren Aronofsky,Mark Margolis,3609278.0,Drama,Ellen Burstyn,Requiem for a Dream,4500000.0,8.4
Memento,Mystery,8.4,Christopher Nolan,Guy Pearce,9000000.0,40047078.0,Christopher Nolan,Thomas Lennon,25530884.0,Mystery|Thriller,Callum Rennie,Memento,9000000.0,8.5
Cast Away,Adventure,7.8,Robert Zemeckis,Tom Hanks,90000000.0,429632142.0,Robert Zemeckis,Paul Sanchez,233630478.0,Adventure|Drama|Romance,Tom Hanks,Cast Away,90000000.0,7.7
The Perfect Storm,Action,6.4,Wolfgang Petersen,George Clooney,140000000.0,328718434.0,Wolfgang Petersen,Mary Elizabeth Mastrantonio,182618434.0,Action|Adventure|Drama|Thriller,Karen Allen,The Perfect Storm,140000000.0,6.4
Coyote Ugly,Comedy,5.7,David McNally,Piper Perabo,45000000.0,113916474.0,David McNally,Tyra Banks,60786269.0,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly,45000000.0,5.6
X-Men,Action,7.4,Bryan Singer,Patrick Stewart,75000000.0,296339528.0,Bryan Singer,Tyler Mane,157299717.0,Action|Adventure|Sci-Fi,Hugh Jackman,X-Men,75000000.0,7.4
Space Cowboys,Action,6.4,Clint Eastwood,Clint Eastwood,65000000.0,128884132.0,Clint Eastwood,Courtney B. Vance,90454043.0,Action|Adventure|Thriller,Clint Eastwood,Space Cowboys,65000000.0,6.4
The Patriot,Action,7.2,Roland Emmerich,Mel Gibson,110000000.0,215294342.0,Roland Emmerich,Adam Baldwin,113330342.0,Action|Drama|History|War,Heath Ledger,The Patriot,110000000.0,7.1
Erin Brockovich,Biography,7.4,Steven Soderbergh,Julia Roberts,52000000.0,256271286.0,Steven Soderbergh,Albert Finney,125548685.0,Biography|Drama,Julia Roberts,Erin Brockovich,52000000.0,7.3
Unbreakable,Drama,7.3,M. Night Shyamalan,Bruce Willis,75000000.0,248118121.0,M. Night Shyamalan,Bruce Willis,94999143.0,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,Unbreakable,75000000.0,7.2
Charlie's Angels,Action,5.6,McG,Cameron Diaz,93000000.0,264105545.0,McG,LL Cool J,125305545.0,Action|Adventure|Comedy|Crime|Thriller,Bill Murray,Charlie's Angels,92000000.0,5.5
Road Trip,Comedy,6.4,Todd Phillips,Breckin Meyer,16000000.0,119754278.0,Todd Phillips,Rachel Blanchard,68525609.0,Comedy,Ethan Suplee,Road Trip,15600000.0,6.5
The Beach,Adventure,6.7,Danny Boyle,Leonardo DiCaprio,50000000.0,144056873.0,Danny Boyle,Virginie Ledoyen,39778599.0,Adventure|Drama|Thriller,Leonardo DiCaprio,The Beach,50000000.0,6.6
Remember the Titans,Biography,7.8,Boaz Yakin,Denzel Washington,30000000.0,136771683.0,Boaz Yakin,Denzel Washington,115648585.0,Biography|Drama|Sport,Ryan Gosling,Remember the Titans,30000000.0,7.8
Mission: Impossible II,Action,6.1,John Woo,Tom Cruise,125000000.0,546388108.0,John Woo,Dougray Scott,215397307.0,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible II,125000000.0,6.1
"O Brother, Where Art Thou?",Adventure,7.7,Joel Coen,George Clooney,26000000.0,71870729.0,Joel Coen,Tim Blake Nelson,45506619.0,Adventure|Comedy|Crime|Music,Holly Hunter,"O Brother, Where Art Thou?",26000000.0,7.8
The 6th Day,Action,5.9,Roger Spottiswoode,Arnold Schwarzenegger,82000000.0,96085477.0,Roger Spottiswoode,Michael Rapaport,34543701.0,Action|Mystery|Sci-Fi|Thriller,Robert Duvall,The 6th Day,82000000.0,5.9
Chicken Run,Animation,7.0,Peter Lord,Mel Gibson,45000000.0,224834564.0,Peter Lord,Miranda Richardson,106793915.0,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,Chicken Run,45000000.0,7.0
The Cell,Crime,6.4,Tarsem Singh,Jennifer Lopez,33000000.0,104155843.0,Tarsem Singh,Jake Weber,61280963.0,Horror|Sci-Fi|Thriller,Dylan Baker,The Cell,33000000.0,6.3
Final Destination,Horror,6.7,James Wong,Devon Sawa,23000000.0,112880294.0,James Wong,Brendan Fehr,53302314.0,Horror|Thriller,Daniel Roebuck,Final Destination,23000000.0,6.7
Traffic,Crime,7.6,Steven Soderbergh,Michael Douglas,48000000.0,207515725.0,Steven Soderbergh,Jacob Vargas,124107476.0,Crime|Drama|Thriller,Michael O'Neill,Traffic,48000000.0,7.6
Sexy Beast,Crime,7.3,Jonathan Glazer,Ray Winstone,,10045677.0,Jonathan Glazer,James Fox,6940281.0,Crime|Thriller,Ray Winstone,Sexy Beast,,7.3
What Lies Beneath,Drama,6.6,Robert Zemeckis,Harrison Ford,100000000.0,291420351.0,Robert Zemeckis,Amber Valletta,155370362.0,Drama|Fantasy|Horror|Mystery|Thriller,Harrison Ford,What Lies Beneath,100000000.0,6.6
The Emperor's New Groove,Animation,7.4,Mark Dindal,David Spade,100000000.0,169661687.0,Mark Dindal,Wendie Malick,89296573.0,Adventure|Animation|Comedy|Family|Fantasy,Eartha Kitt,The Emperor's New Groove,100000000.0,7.3
