Movie_Title,Director,Actors,Total_Gross,main_genre
Kantara,Rishab Shetty,"Rishab Shetty, Sapthami Gowda, Kishore Kumar G., Achyuth Kumar",Gross Unkown,Action
The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",$534.86M,Action
The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",$377.85M,Action
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",$292.58M,Action
The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",$342.55M,Action
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",$315.54M,Action
The Matrix,"Directors:Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",$171.48M,Action
The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",$290.48M,Action
Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",$204.84M,Action
Star Wars,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",$322.74M,Action
Seppuku,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",Gross Unkown,Action
Shichinin no samurai,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",$0.27M,Action
Kaithi,Lokesh Kanagaraj,"Karthi, Narain, Arjun Das, George Maryan",Gross Unkown,Action
Asuran,Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy",Gross Unkown,Action
Sita Ramam,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth",Gross Unkown,Action
Gladiator,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",$187.71M,Action
Léon,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",$19.50M,Action
Vikram,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain",Gross Unkown,Action
Spider-Man: Into the Spider-Verse,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",$190.24M,Animation
Avengers: Endgame,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",$858.37M,Action
Avengers: Infinity War,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",$678.82M,Action
Top Gun: Maverick,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",Gross Unkown,Action
The Dark Knight Rises,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",$448.14M,Action
K.G.F: Chapter 2,Prashanth Neel,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty",Gross Unkown,Action
Shershaah,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri",Gross Unkown,Action
Oldeuboi,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok",$0.71M,Action
Mononoke-hime,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",$2.38M,Animation
Aliens,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",$85.16M,Action
Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",$248.16M,Action
Vikram Vedha,"Directors:Gayatri, Pushkar, Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir",Gross Unkown,Action
Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",$12.39M,Action
Spider-Man: No Way Home,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon",$804.75M,Action
Heat,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",$67.44M,Action
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",$309.13M,Action
North by Northwest,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",$13.28M,Action
Major,Sashi Kiran Tikka,"Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar",Gross Unkown,Action
1917,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",$159.23M,Action
Uri: The Surgical Strike,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam",$4.19M,Action
K.G.F: Chapter 1,Prashanth Neel,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois",Gross Unkown,Action
Dag II,Alper Caglar,"Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli",Gross Unkown,Action
Baahubali 2: The Conclusion,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",$20.19M,Action
Gangs of Wasseypur,Anurag Kashyap,"Manoj Bajpayee, Ashish Chhipa, Richa Chadha, Nawazuddin Siddiqui",Gross Unkown,Action
Paan Singh Tomar,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya",$0.04M,Action
Warrior,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",$13.66M,Action
Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono",$47.70M,Animation
V for Vendetta,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea",$70.51M,Action
Batman Begins,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",$206.85M,Action
Kill Bill: Vol. 1,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen",$70.10M,Action
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",$3.90M,Action
Jurassic Park,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",$402.45M,Action
Indiana Jones and the Last Crusade,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott",$197.17M,Action
Die Hard,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",$83.01M,Action
Ran,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû",$4.14M,Action
Yôjinbô,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa",Gross Unkown,Action
The General,"Directors:Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley",$1.03M,Action
Sherlock Jr.,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly",$0.98M,Action
Everything Everywhere All at Once,"Directors:Dan Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan",Gross Unkown,Action
Bajrangi Bhaijaan,Kabir Khan,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor",$8.18M,Action
Logan,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",$226.28M,Action
Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",$26.95M,Action
Ford v Ferrari,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe",$117.62M,Action
Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",$154.06M,Action
A Wednesday,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual",Gross Unkown,Action
How to Train Your Dragon,"Directors:Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson",$217.58M,Animation
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",$305.41M,Action
Hera Pheri,Priyadarshan,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu",Gross Unkown,Action
Sarfarosh,John Mathew Matthan,"Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi",Gross Unkown,Action
The Iron Giant,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel",$23.16M,Animation
The Terminator,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",$38.40M,Action
Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",$32.87M,Action
Sholay,Ramesh Sippy,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan",Gross Unkown,Action
Kakushi-toride no san-akunin,Akira Kurosawa,"Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara",Gross Unkown,Action
White Heat,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly",Gross Unkown,Action
RRR (Rise Roar Revolt),S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan Teja, Ajay Devgn, Alia Bhatt",Gross Unkown,Action
Arjun Reddy,Sandeep Reddy Vanga,"Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana",Gross Unkown,Action
Kaththi,A.R. Murugadoss,"Joseph Vijay, Samantha Ruth Prabhu, Neil Nitin Mukesh, Tota Roy Chowdhury",Gross Unkown,Action
Haider,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon",$0.90M,Action
Bãhubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",$6.74M,Action
1 - Nenokkadine,Sukumar,"Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat",Gross Unkown,Action
Thuppakki,A.R. Murugadoss,"Joseph Vijay, Kajal Aggarwal, Vidyut Jammwal, Sathyan",Gross Unkown,Action
Guardians of the Galaxy,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",$333.18M,Action
Blade Runner 2049,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista",$92.05M,Action
The Revenant,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",$183.64M,Action
Tropa de Elite 2: O Inimigo Agora é Outro,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz",$0.10M,Action
Deadpool,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",$363.07M,Action
Karthikeya 2,Chandoo Mondeti,"Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu",Gross Unkown,Action
Zack Snyder's Justice League,Zack Snyder,"Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams",Gross Unkown,Action
Ip Man,Wilson Yip,"Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam",Gross Unkown,Action
Nefes: Vatan Sagolsun,Levent Semerci,"Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç",Gross Unkown,Action
Dune: Part One,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",$108.33M,Action
Tropa de Elite,José Padilha,"Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz",$0.01M,Action
The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",$623.28M,Action
The Bourne Ultimatum,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",$227.47M,Action
Taegukgi hwinalrimyeo,Je-kyu Kang,"Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong",$1.11M,Action
Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",$167.45M,Action
Kill Bill: Vol. 2,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah",$66.21M,Action
Mou gaan dou,"Directors:Andrew Lau, Alan Mak","Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang",$0.17M,Action
The Incredibles,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee",$261.44M,Animation
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Directors:Hideaki Anno, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi",Gross Unkown,Animation
Andaz Apna Apna,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",Gross Unkown,Action
Akira,Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda",$0.55M,Animation
Sanjuro,Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô",Gross Unkown,Action
Minnal Murali,Basil Joseph,"Tovino Thomas, Guru Somasundaram, Aju Varghese, Baiju",Gross Unkown,Action
Airlift,Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi",Gross Unkown,Action
Baby,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu",Gross Unkown,Action
Thor: Ragnarok,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo",$315.06M,Action
Serbuan maut 2: Berandal,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara",$2.63M,Action
Vishwaroopam,Kamal Haasan,"Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose",Gross Unkown,Action
X-Men: Days of Future Past,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",$233.92M,Action
The Batman,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell",Gross Unkown,Action
Edge of Tomorrow,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",$100.21M,Action
District 9,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",$115.65M,Action
Star Trek,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",$257.73M,Action
Letters from Iwo Jima,Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase",$13.76M,Action
Iron Man,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",$318.41M,Action
Ying xiong,Yimou Zhang,"Jet Li, Tony Chiu-Wai Leung, Maggie Cheung, Ziyi Zhang",$53.71M,Action
The Bourne Identity,Doug Liman,"Franka Potente, Matt Damon, Chris Cooper, Clive Owen",$121.66M,Action
Children of Men,Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine",$35.55M,Action
Wo hu cang long,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen",$128.08M,Action
Knockin' on Heaven's Door,Thomas Jahn,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu",$0.00M,Action
Kôkaku Kidôtai,Mamoru Oshii,"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera",$0.52M,Animation
The Blues Brothers,John Landis,"John Belushi, Dan Aykroyd, Cab Calloway, John Candy",$57.23M,Action
The Wild Bunch,Sam Peckinpah,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien",$12.06M,Action
Per un pugno di dollari,Sergio Leone,"Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy",$14.50M,Action
The Adventures of Robin Hood,"Directors:Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains",$3.98M,Action
The Gentlemen,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",$36.47M,Action
Doragon bôru chô: Burorî,Tatsuya Nagamine,"Masako Nozawa, Aya Hisakawa, Ryô Horikawa, Toshio Furukawa",$30.71M,Animation
Dunkirk,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy",$188.37M,Action
Rogue One,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",$532.18M,Action
Captain America: Civil War,"Directors:Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",$408.08M,Action
Star Wars: Episode VII - The Force Awakens,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",$936.66M,Action
Big Hero 6,"Directors:Don Hall, Chris Williams","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",$222.53M,Animation
Captain America: The Winter Soldier,"Directors:Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",$259.77M,Action
How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",$177.00M,Animation
Ang-ma-reul bo-at-da,Jee-woon Kim,"Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun",$0.13M,Action
Captain Phillips,Paul Greengrass,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener",$107.10M,Action
Thirteen Lives,Ron Howard,"Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman",Gross Unkown,Action
Chugyeokja,Na Hong-jin,"Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo, Kim Yoo-jeong",Gross Unkown,Action
Skyfall,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",$304.36M,Action
The Fighter,David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",$93.62M,Action
Taken,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",$145.00M,Action
Drive,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",$35.06M,Action
Avatar,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",$760.51M,Action
Apocalypto,Mel Gibson,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood",$50.87M,Action
Hot Fuzz,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",$23.64M,Action
Serenity,Joss Whedon,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk",$25.51M,Action
The Last Samurai,Edward Zwick,"Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton",$111.11M,Action
Cowboy Bebop: Tengoku no tobira,"Directors:Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura, Yoshiyuki Takei","Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera",$1.00M,Animation
Gongdong gyeongbi guyeok JSA,Park Chan-wook,"Lee Yeong-ae, Lee Byung-hun, Song Kang-ho, Kim Tae-Woo",Gross Unkown,Action
Jûbê ninpûchô,Yoshiaki Kawajiri,"Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka",Gross Unkown,Animation
The Fugitive,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",$183.88M,Action
Batman: Mask of the Phantasm,"Directors:Kevin Altieri, Boyd Kirkland, Frank Paur, Dan Riba, Eric Radomski, Bruce Timm","Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach",$5.62M,Animation
Dip huet seung hung,John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu",Gross Unkown,Action
Predator,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo",$59.74M,Action
Ghostbusters,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",$238.63M,Action
"Aguirre, der Zorn Gottes",Werner Herzog,"Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro",Gross Unkown,Action
Raazi,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma",Gross Unkown,Action
Deadpool 2,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",$324.59M,Action
Mission: Impossible - Fallout,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",$220.16M,Action
Udta Punjab,Abhishek Chaubey,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh",Gross Unkown,Action
Kubo and the Two Strings,Travis Knight,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes",$48.02M,Animation
Kingsman: The Secret Service,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine",$128.26M,Action
Ajeossi,Jeong-beom Lee,"Won Bin, Kim Sae-ron, Kim Tae-hoon, Kim Hee-won",$0.01M,Action
The Lego Movie,"Directors:Phil Lord, Christopher Miller","Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",$257.76M,Animation
Star Trek Into Darkness,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",$228.78M,Action
X: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",$146.41M,Action
3:10 to Yuma,James Mangold,"Russell Crowe, Christian Bale, Ben Foster, Logan Lerman",$53.61M,Action
Kung fu,Stephen Chow,"Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung",$17.11M,Action
The Bourne Supremacy,Paul Greengrass,"Matt Damon, Franka Potente, Joan Allen, Brian Cox",$176.24M,Action
Man on Fire,Tony Scott,"Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell",$77.91M,Action
Black Hawk Down,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana",$108.64M,Action
The Count of Monte Cristo,Kevin Reynolds,"Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc",$54.23M,Action
Minority Report,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",$132.07M,Action
The Boondock Saints,Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco",$0.03M,Action
Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger",$76.63M,Action
Lola rennt,Tom Tykwer,"Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri",$7.27M,Action
The Last of the Mohicans,Michael Mann,"Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig",$75.51M,Action
Lat sau san taam,John Woo,"Chow Yun-Fat, Tony Chiu-Wai Leung, Teresa Mo, Philip Chan",Gross Unkown,Action
Star Trek II: The Wrath of Khan,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",$78.91M,Action
First Blood,Ted Kotcheff,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney",$47.21M,Action
Badlands,Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri",Gross Unkown,Action
The French Connection,William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco",$15.63M,Action
Dirty Harry,"Directors:Don Siegel, Clint Eastwood","Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni",$35.90M,Action
The Dirty Dozen,Robert Aldrich,"Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes",$45.30M,Action
Bonnie and Clyde,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman",Gross Unkown,Action
Goldfinger,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton",$51.08M,Action
The Longest Day,"Directors:Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck","John Wayne, Robert Ryan, Richard Burton, Henry Fonda",$39.10M,Action
The Magnificent Seven,John Sturges,"Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach",$4.91M,Action
Key Largo,John Huston,"Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore",Gross Unkown,Action
Scarface,"Directors:Howard Hawks, Richard Rosson","Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins",Gross Unkown,Action
Pushpa: The Rise - Part 1,Sukumar,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Dhananjaya",Gross Unkown,Action
Ölümlü Dünya,Ali Atay,"Ahmet Mümtaz Taylan, Alper Kul, Sarp Apak, Irem Sak",Gross Unkown,Action
Ludo,Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh",Gross Unkown,Action
Busanhaeng,Sang-ho Yeon,"Gong Yoo, Jung Yu-mi, Ma Dong-seok, Su-an Kim",$2.13M,Action
Hotel Mumbai,Anthony Maras,"Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher",$9.65M,Action
Guardians of the Galaxy Vol. 2,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",$389.81M,Action
Baby Driver,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",$107.83M,Action
Only the Brave,Joseph Kosinski,"Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly",$18.34M,Action
Incredibles 2,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",$608.58M,Animation
Sicario,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",$46.89M,Action
Creed,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",$109.77M,Action
Dawn of the Planet of the Apes,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",$208.55M,Action
El cuerpo,Oriol Paulo,"Jose Coronado, Hugo Silva, Belén Rueda, Aura Garrido",Gross Unkown,Action
Serbuan maut,Gareth Evans,"Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah",$4.11M,Action
End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera",$41.00M,Action
Rise of the Planet of the Apes,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",$176.76M,Action
Kick-Ass,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown",$48.07M,Action
Celda 211,Daniel Monzón,"Luis Tosar, Alberto Ammann, Antonio Resines, Manuel Morón",Gross Unkown,Action
Zombieland,Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin",$75.59M,Action
Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",$209.03M,Action
