Movie_Title,Director,Actors,Total_Gross,main_genre
A Perfect Getaway,David Twohy,"Milla Jovovich, Steve Zahn, Timothy Olyphant, Kiele Sanchez",$15.48M,Drama
Blindness,Fernando Meirelles,"Julianne Moore, Mark Ruffalo, Gael García Bernal, Yûsuke Iseya",$3.07M,Drama
The Skeleton Key,Iain Softley,"Kate Hudson, Peter Sarsgaard, Joy Bryant, Gena Rowlands",$47.81M,Drama
Silent Hill,Christophe Gans,"Radha Mitchell, Laurie Holden, Sean Bean, Deborah Kara Unger",$46.98M,Horror
Secret Window,David Koepp,"Johnny Depp, Maria Bello, John Turturro, Timothy Hutton",$48.02M,Drama
Dead End,"Directors:Jean-Baptiste Andrea, Fabrice Canepa","Ray Wise, Lin Shaye, Mick Cain, Alexandra Holden",Gross Unkown,Adventure
The Blair Witch Project,"Directors:Daniel Myrick, Eduardo Sánchez","Heather Donahue, Michael C. Williams, Joshua Leonard, Bob Griffin",$140.54M,Horror
The Faculty,Robert Rodriguez,"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett",$40.06M,Horror
Stealing Beauty,Bernardo Bertolucci,"Jeremy Irons, Liv Tyler, Carlo Cecchi, Sinéad Cusack",$4.57M,Drama
The Exorcist III,William Peter Blatty,"George C. Scott, Ed Flanders, Brad Dourif, Jason Miller",$26.10M,Drama
Unsane,Steven Soderbergh,"Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple",$7.73M,Drama
Ghostland,Pascal Laugier,"Crystal Reed, Mylène Farmer, Anastasia Phillips, Emilia Jones",Gross Unkown,Drama
A Cure for Wellness,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",$8.11M,Drama
Luckiest Girl Alive,Mike Barker,"Mila Kunis, Chiara Aurelia, Finn Wittrock, Connie Britton",Gross Unkown,Drama
White Bird in a Blizzard,Gregg Araki,"Shailene Woodley, Eva Green, Christopher Meloni, Angela Bassett",$0.03M,Drama
Europa Report,Sebastián Cordero,"Sharlto Copley, Michael Nyqvist, Christian Camargo, Embeth Davidtz",$0.13M,Adventure
Before I Fall,Ry Russo-Young,"Zoey Deutch, Halston Sage, Cynthy Wu, Medalion Rahimi",$12.24M,Drama
