name,genre,score,director,star,budget,gross
Stone Cold,Action,6.0,Craig R. Baxley,Brian Bosworth,17000000.0,9151887.0
Wild Hearts Can't Be Broken,Drama,7.2,Steve Miner,Gabrielle Anwar,,7294835.0
Showdown in Little Tokyo,Action,6.1,Mark L. Lester,Dolph Lundgren,8000000.0,2275557.0
Jungle Fever,Drama,6.6,Spike Lee,Wesley Snipes,14000000.0,43882682.0
Harley Davidson and the Marlboro Man,Action,6.1,Simon Wincer,Mickey Rourke,23000000.0,7434726.0
Not Without My Daughter,Drama,6.4,Brian Gilbert,Sally Field,,14789113.0
Defending Your Life,Comedy,7.2,Albert Brooks,Albert Brooks,,16371128.0
Flight of the Intruder,Action,5.8,John Milius,Danny Glover,35000000.0,14587732.0
Problem Child 2,Comedy,4.9,Brian Levant,John Ritter,15000000.0,32704700.0
The Hard Way,Action,6.4,John Badham,Michael J. Fox,24000000.0,65595485.0
Ricochet,Action,6.2,Russell Mulcahy,Denzel Washington,,21756163.0
L.A. Story,Comedy,6.7,Mick Jackson,Steve Martin,,28862081.0
Rush,Action,6.8,Lili Fini Zanuck,Jason Patric,17000000.0,7241350.0
Dead Again,Crime,6.9,Kenneth Branagh,Kenneth Branagh,15000000.0,38016380.0
Out for Justice,Action,6.1,John Flynn,Steven Seagal,14000000.0,39673161.0
Only Yesterday,Animation,7.6,Isao Takahata,Miki Imai,,545825.0
The Indian Runner,Drama,7.0,Sean Penn,David Morse,7000000.0,191125.0
An American Tail: Fievel Goes West,Animation,6.5,Phil Nibbelink,James Stewart,,40766041.0
Life Stinks,Comedy,5.9,Mel Brooks,Mel Brooks,13000000.0,4102526.0
Frankie and Johnny,Comedy,6.7,Garry Marshall,Al Pacino,29000000.0,22773535.0
Grand Canyon,Crime,6.9,Lawrence Kasdan,Danny Glover,,40991329.0
Close My Eyes,Drama,6.3,Stephen Poliakoff,Alan Rickman,,135893.0
Homicide,Crime,7.0,David Mamet,Joe Mantegna,,2971661.0
Soapdish,Comedy,6.6,Michael Hoffman,Sally Field,25000000.0,36489888.0
Curly Sue,Comedy,5.9,John Hughes,Jim Belushi,25000000.0,33691313.0
The Rapture,Drama,6.3,Michael Tolkin,Mimi Rogers,,1277404.0
Mannequin: on the Move,Comedy,4.4,Stewart Raffill,Kristy Swanson,13000000.0,3752428.0
Rock-A-Doodle,Animation,6.1,Don Bluth,Glen Campbell,18000000.0,11657385.0
Necessary Roughness,Comedy,6.2,Stan Dragoti,Scott Bakula,13500000.0,26255594.0
Cool as Ice,Comedy,2.9,David Kellogg,Vanilla Ice,6000000.0,1193062.0
Wild Orchid II: Two Shades of Blue,Drama,4.0,Zalman King,Nina Siemaszko,,573904.0
Switch,Comedy,5.8,Blake Edwards,Ellen Barkin,14000000.0,15545943.0
White Fang,Adventure,6.7,Randal Kleiser,Ethan Hawke,14000000.0,34793160.0
Until the End of the World,Action,6.8,Wim Wenders,William Hurt,23000000.0,829625.0
Only the Lonely,Comedy,6.4,Chris Columbus,John Candy,,25092802.0
Dutch,Comedy,6.5,Peter Faiman,Ed O'Neill,17000000.0,4603929.0
Shattered,Crime,6.5,Wolfgang Petersen,Tom Berenger,22000000.0,11511031.0
Raise the Red Lantern,Drama,8.1,Yimou Zhang,Gong Li,,2603061.0
Suburban Commando,Action,4.5,Burt Kennedy,Hulk Hogan,,6948859.0
Popcorn,Comedy,5.8,Mark Herrier,Jill Schoelen,,4205000.0
Mobsters,Crime,6.0,Michael Karbelnikoff,Christian Slater,23000000.0,20246790.0
Operation Condor,Action,7.3,Jackie Chan,Jackie Chan,,10405394.0
If Looks Could Kill,Action,5.8,William Dear,Richard Grieco,,7788597.0
The Butcher's Wife,Comedy,5.4,Terry Hughes,Demi Moore,,9689816.0
Dying Young,Drama,6.1,Joel Schumacher,Julia Roberts,18000000.0,82264675.0
Dogfight,Comedy,7.4,Nancy Savoca,River Phoenix,,394631.0
Whore,Drama,5.6,Ken Russell,Theresa Russell,,1008404.0
Hear My Song,Comedy,7.0,Peter Chelsom,Ned Beatty,,4313473.0
Other People's Money,Comedy,6.2,Norman Jewison,Danny DeVito,,25682090.0
Delirious,Comedy,5.9,Tom Mankiewicz,John Candy,18000000.0,5546827.0
Flirting,Drama,7.2,John Duigan,Noah Taylor,,2415396.0
The Pit and the Pendulum,Horror,6.0,Stuart Gordon,Lance Henriksen,2000000.0,
High Heels,Comedy,7.1,Pedro Almodóvar,Victoria Abril,,1710057.0
Little Man Tate,Drama,6.6,Jodie Foster,Jodie Foster,10000000.0,25010896.0
Shadows and Fog,Comedy,6.7,Woody Allen,Woody Allen,14000000.0,2735731.0
Shakes the Clown,Comedy,5.6,Bobcat Goldthwait,Bobcat Goldthwait,1400000.0,115103.0
Black Robe,Adventure,7.1,Bruce Beresford,Lothaire Bluteau,,8211952.0
Billy Bathgate,Crime,5.9,Robert Benton,Dustin Hoffman,48000000.0,15565363.0
Europa,Drama,7.6,Lars von Trier,Barbara Sukowa,,1015007.0
The Doctor,Drama,7.0,Randa Haines,William Hurt,,38120905.0
Kafka,Drama,6.9,Steven Soderbergh,Jeremy Irons,11000000.0,1059071.0
Johnny Suede,Comedy,5.8,Tom DiCillo,Brad Pitt,500000.0,90091.0
Mystery Date,Comedy,6.0,Jonathan Wacks,Ethan Hawke,10000000.0,6166819.0
Ernest Scared Stupid,Comedy,5.8,John R. Cherry III,Jim Varney,,14143280.0
The Five Heartbeats,Drama,7.6,Robert Townsend,Robert Townsend,,8750400.0
Mississippi Masala,Drama,6.7,Mira Nair,Denzel Washington,,7308786.0
The Marrying Man,Comedy,5.8,Jerry Rees,Kim Basinger,26000000.0,12454768.0
"He Said, She Said",Comedy,5.6,Ken Kwapis,Kevin Bacon,,9804775.0
Poison,Drama,6.4,Todd Haynes,Edith Meeks,250000.0,787280.0
King Ralph,Comedy,5.3,David S. Ward,John Goodman,23000000.0,52487045.0
Enchanted April,Drama,7.4,Mike Newell,Alfred Molina,,13200170.0
Mediterraneo,Comedy,7.5,Gabriele Salvatores,Diego Abatantuono,,4532791.0
House Party 2,Comedy,5.3,George Jackson,Christopher Reid,5000000.0,19438638.0
Deceived,Crime,6.2,Damian Harris,Goldie Hawn,,28738096.0
The Perfect Weapon,Action,6.0,Mark DiSalle,Jeff Speakman,10000000.0,14061361.0
Class Action,Drama,6.4,Michael Apted,Gene Hackman,,28277918.0
Under Suspicion,Crime,6.5,Simon Moore,Liam Neeson,6000000.0,221295.0
Edward II,Drama,6.8,Derek Jarman,Steven Waddington,,706131.0
The Princess and the Goblin,Animation,6.8,József Gémes,Claire Bloom,10000000.0,2105078.0
Rambling Rose,Drama,6.6,Martha Coolidge,Laura Dern,7500000.0,6266621.0
Big Girls Don't Cry... They Get Even,Comedy,6.5,Joan Micklin Silver,Griffin Dunne,,271327.0
K2,Adventure,6.2,Franc Roddam,Michael Biehn,,3106559.0
Prospero's Books,Drama,6.9,Peter Greenaway,John Gielgud,,1750301.0
Pure Luck,Comedy,5.8,Nadia Tass,Martin Short,17010000.0,24941969.0
F/X2,Action,5.9,Richard Franklin,Bryan Brown,16400000.0,21082165.0
The Adjuster,Comedy,6.7,Atom Egoyan,Elias Koteas,,396573.0
Mortal Thoughts,Mystery,5.7,Alan Rudolph,Demi Moore,8000000.0,18784957.0
Another You,Comedy,5.4,Maurice Phillips,Richard Pryor,17000000.0,2865916.0
For the Boys,Comedy,6.4,Mark Rydell,Bette Midler,40000000.0,23202444.0
Beastmaster 2: Through the Portal of Time,Action,4.1,Sylvio Tabet,Marc Singer,6000000.0,869325.0
McBain,Action,4.8,James Glickenhaus,Christopher Walken,,456127.0
Eve of Destruction,Action,4.9,Duncan Gibbins,Gregory Hines,13000000.0,5451119.0
A Rage in Harlem,Comedy,5.9,Bill Duke,Forest Whitaker,8000000.0,10438504.0
Rhapsody in August,Drama,7.2,Akira Kurosawa,Sachiko Murase,,516431.0
Kickboxer 2: the Road Back,Action,4.5,Albert Pyun,Sasha Mitchell,,1250712.0
V.I. Warshawski,Action,5.0,Jeff Kanew,Kathleen Turner,,11128309.0
The Super,Comedy,5.6,Rod Daniel,Joe Pesci,22000000.0,11000863.0
Proof,Drama,7.2,Jocelyn Moorhouse,Hugo Weaving,,524668.0
At Play in the Fields of the Lord,Drama,6.8,Hector Babenco,Tom Berenger,36000000.0,1345903.0
True Colors,Drama,6.3,Herbert Ross,John Cusack,20000000.0,418807.0
Impromptu,Biography,6.9,James Lapine,Judy Davis,,4076211.0
A Kiss Before Dying,Crime,5.7,James Dearden,Matt Dillon,15000000.0,15429177.0
Guilty by Suspicion,Drama,6.5,Irwin Winkler,Robert De Niro,,9480198.0
Scissors,Horror,5.2,Frank De Felitta,Sharon Stone,,2368.0
Where Angels Fear to Tread,Drama,6.4,Charles Sturridge,Helena Bonham Carter,,1403033.0
Tous les matins du monde,Biography,7.5,Alain Corneau,Gérard Depardieu,,3089497.0
The Hitman,Action,5.4,Aaron Norris,Chuck Norris,,4654288.0
Bingo,Adventure,4.9,Matthew Robbins,Cindy Williams,10000000.0,8667684.0
Queens Logic,Comedy,5.9,Steve Rash,Kevin Bacon,,612781.0
Body Parts,Horror,5.6,Eric Red,Jeff Fahey,10000000.0,9188150.0
One Good Cop,Action,5.9,Heywood Gould,Michael Keaton,4000000.0,11276846.0
Year of the Gun,Action,5.6,John Frankenheimer,Andrew McCarthy,,1182273.0
Strictly Business,Comedy,5.5,Kevin Hooks,Tommy Davidson,,7683267.0
The Efficiency Expert,Comedy,6.2,Mark Joffe,Anthony Hopkins,,179469.0
All I Want for Christmas,Comedy,6.0,Robert Lieberman,Harley Jane Kozak,,14812144.0
29th Street,Comedy,7.3,George Gallo,Anthony LaPaglia,,2120564.0
Shout,Drama,5.3,Jeffrey Hornaday,John Travolta,,3547684.0
Daughters of the Dust,Drama,6.6,Julie Dash,Cora Lee Day,,1689723.0
Once Around,Comedy,6.5,Lasse Hallström,Richard Dreyfuss,16000000.0,14851083.0
Sólo con tu pareja,Comedy,6.9,Alfonso Cuarón,Daniel Giménez Cacho,,9915.0
The Taking of Beverly Hills,Action,5.1,Sidney J. Furie,Ken Wahl,19000000.0,939277.0
Run,Action,6.2,Geoff Burrowes,Patrick Dempsey,16000000.0,4409328.0
Paradise,Drama,6.7,Mary Agnes Donoghue,Melanie Griffith,,18634643.0
Madame Bovary,Drama,6.6,Claude Chabrol,Isabelle Huppert,,1942423.0
Company Business,Action,5.6,Nicholas Meyer,Gene Hackman,18000000.0,1501785.0
Talent for the Game,Drama,6.0,Robert M. Young,Edward James Olmos,,336396.0
City of Hope,Crime,7.3,John Sayles,Vincent Spano,3000000.0,1345015.0
Riff-Raff,Comedy,7.1,Ken Loach,Robert Carlyle,,295444.0
The Object of Beauty,Comedy,5.7,Michael Lindsay-Hogg,John Malkovich,,5136759.0
Liebestraum,Mystery,5.9,Mike Figgis,Kevin Anderson,6900000.0,133645.0
Voyager,Drama,6.7,Volker Schlöndorff,Sam Shepard,,516517.0
Closet Land,Drama,7.1,Radha Bharadwaj,Madeleine Stowe,4000000.0,259012.0
Timebomb,Action,5.4,Avi Nesher,Michael Biehn,6000000.0,
Crooked Hearts,Drama,6.0,Michael Bortman,Peter Berg,,30964.0
The Unborn,Drama,4.6,Rodman Flender,Brooke Adams,,1159578.0
Van Gogh,Biography,7.2,Maurice Pialat,Jacques Dutronc,,193205.0
Late for Dinner,Drama,6.4,W.D. Richter,Peter Berg,14000000.0,8906823.0
Lovers: A True Story,Action,7.0,Vicente Aranda,Victoria Abril,,1407309.0
Johnny Stecchino,Comedy,7.2,Roberto Benigni,Roberto Benigni,,626057.0
Stepping Out,Comedy,6.4,Lewis Gilbert,Liza Minnelli,,246000.0
The Inner Circle,Biography,7.1,Andrey Konchalovskiy,Tom Hulce,,93292.0
"Mon père, ce héros.",Comedy,6.1,Gérard Lauzier,Gérard Depardieu,,
Defenseless,Mystery,5.6,Martin Campbell,Barbara Hershey,,6413375.0
Reservoir Dogs,Crime,8.3,Quentin Tarantino,Harvey Keitel,1200000.0,2913644.0
Basic Instinct,Drama,7.0,Paul Verhoeven,Michael Douglas,49000000.0,352927224.0
Candyman,Horror,6.6,Bernard Rose,Virginia Madsen,6000000.0,25795897.0
My Cousin Vinny,Comedy,7.6,Jonathan Lynn,Joe Pesci,11000000.0,64088552.0
The Last of the Mohicans,Action,7.7,Michael Mann,Daniel Day-Lewis,40000000.0,75505856.0
Dracula,Horror,7.4,Francis Ford Coppola,Gary Oldman,40000000.0,215862692.0
Unforgiven,Drama,8.2,Clint Eastwood,Clint Eastwood,14400000.0,159157447.0
A Few Good Men,Drama,7.7,Rob Reiner,Tom Cruise,41000000.0,243240178.0
A League of Their Own,Comedy,7.3,Penny Marshall,Tom Hanks,40000000.0,132440069.0
The Bodyguard,Action,6.3,Mick Jackson,Kevin Costner,25000000.0,411006740.0
Scent of a Woman,Drama,8.0,Martin Brest,Al Pacino,31000000.0,134095253.0
Batman Returns,Action,7.0,Tim Burton,Michael Keaton,80000000.0,266892996.0
The Mighty Ducks,Comedy,6.6,Stephen Herek,Emilio Estevez,10000000.0,50752337.0
Aladdin,Animation,8.0,Ron Clements,Scott Weinger,28000000.0,504050219.0
Sister Act,Comedy,6.4,Emile Ardolino,Whoopi Goldberg,31000000.0,231605150.0
Alien 3,Action,6.5,David Fincher,Sigourney Weaver,50000000.0,159814498.0
Death Becomes Her,Comedy,6.6,Robert Zemeckis,Meryl Streep,55000000.0,149022650.0
Far and Away,Adventure,6.6,Ron Howard,Tom Cruise,60000000.0,137783840.0
The Crying Game,Crime,7.3,Neil Jordan,Stephen Rea,,62548947.0
Howards End,Drama,7.4,James Ivory,Anthony Hopkins,,26341736.0
Under Siege,Action,6.5,Andrew Davis,Steven Seagal,35000000.0,156563139.0
Deep Cover,Action,6.9,Bill Duke,Laurence Fishburne,8000000.0,16639799.0
Single White Female,Drama,6.4,Barbet Schroeder,Bridget Fonda,16000000.0,48017402.0
Cool World,Animation,4.9,Ralph Bakshi,Gabriel Byrne,30000000.0,14110589.0
Glengarry Glen Ross,Crime,7.7,James Foley,Al Pacino,12500000.0,10725228.0
Wayne's World,Comedy,7.0,Penelope Spheeris,Mike Myers,20000000.0,183097323.0
Army of Darkness,Comedy,7.5,Sam Raimi,Bruce Campbell,11000000.0,11502976.0
A River Runs Through It,Drama,7.2,Robert Redford,Craig Sheffer,12000000.0,43440294.0
Twin Peaks: Fire Walk with Me,Drama,7.3,David Lynch,Sheryl Lee,10000000.0,4184990.0
Of Mice and Men,Drama,7.5,Gary Sinise,John Malkovich,,5471088.0
Beethoven,Comedy,5.7,Brian Levant,Charles Grodin,,147214049.0
Universal Soldier,Action,6.0,Roland Emmerich,Jean-Claude Van Damme,23000000.0,36299898.0
Buffy the Vampire Slayer,Action,5.7,Fran Rubel Kuzui,Kristy Swanson,7000000.0,16624456.0
Sleepwalkers,Fantasy,5.3,Mick Garris,Brian Krause,15000000.0,30524763.0
Chaplin,Biography,7.5,Richard Attenborough,Robert Downey Jr.,31000000.0,9493259.0
The Lover,Biography,6.9,Jean-Jacques Annaud,Jane March,,5013090.0
Home Alone 2: Lost in New York,Adventure,6.8,Chris Columbus,Macaulay Culkin,28000000.0,358994850.0
The Hand That Rocks the Cradle,Drama,6.6,Curtis Hanson,Annabella Sciorra,11700000.0,88036683.0
Newsies,Drama,6.9,Kenny Ortega,Christian Bale,15000000.0,2819485.0
Malcolm X,Biography,7.7,Spike Lee,Denzel Washington,33000000.0,48169910.0
Patriot Games,Action,6.9,Phillip Noyce,Harrison Ford,45000000.0,178051587.0
Dead Alive,Comedy,7.5,Peter Jackson,Timothy Balme,3000000.0,242623.0
Poison Ivy,Drama,5.4,Katt Shea,Drew Barrymore,3000000.0,1829804.0
Sneakers,Comedy,7.1,Phil Alden Robinson,Robert Redford,23000000.0,105232691.0
The Lawnmower Man,Horror,5.4,Brett Leonard,Jeff Fahey,10000000.0,32100816.0
The Player,Comedy,7.5,Robert Altman,Tim Robbins,8000000.0,21706101.0
Encino Man,Comedy,5.8,Les Mayfield,Sean Astin,7000000.0,40693477.0
White Men Can't Jump,Comedy,6.8,Ron Shelton,Wesley Snipes,,90753806.0
Lethal Weapon 3,Action,6.7,Richard Donner,Mel Gibson,35000000.0,321731527.0
American Me,Biography,7.2,Edward James Olmos,Edward James Olmos,16000000.0,13086430.0
El Mariachi,Action,6.9,Robert Rodriguez,Carlos Gallardo,7000.0,2040920.0
Bitter Moon,Drama,7.2,Roman Polanski,Hugh Grant,5000000.0,1862805.0
Pet Sematary II,Fantasy,4.9,Mary Lambert,Edward Furlong,8000000.0,17092453.0
Bad Lieutenant,Crime,7.1,Abel Ferrara,Harvey Keitel,1000000.0,2038916.0
Singles,Comedy,6.7,Cameron Crowe,Bridget Fonda,,18471850.0
FernGully: The Last Rainforest,Animation,6.5,Bill Kroyer,Samantha Mathis,24000000.0,32710894.0
HouseSitter,Comedy,6.1,Frank Oz,Steve Martin,26000000.0,94900635.0
School Ties,Drama,6.9,Robert Mandel,Brendan Fraser,18000000.0,14715067.0
Hoffa,Biography,6.6,Danny DeVito,Jack Nicholson,35000000.0,29302121.0
Juice,Action,7.1,Ernest R. Dickerson,Omar Epps,5000000.0,20146880.0
Damage,Drama,6.8,Louis Malle,Jeremy Irons,,7532911.0
Forever Young,Drama,6.3,Steve Miner,Mel Gibson,,127956187.0
Man Bites Dog,Comedy,7.5,Rémy Belvaux,Benoît Poelvoorde,,205569.0
3 Ninjas,Action,5.3,Jon Turteltaub,Victor Wong,6500000.0,29000301.0
Hellraiser III: Hell on Earth,Horror,5.5,Anthony Hickox,Terry Farrell,5000000.0,12534961.0
Body of Evidence,Drama,4.5,Uli Edel,Madonna,30000000.0,13273595.0
"Honey, I Blew Up the Kid",Adventure,4.9,Randal Kleiser,Rick Moranis,40000000.0,58662452.0
Captain Ron,Adventure,5.8,Thom Eberhardt,Kurt Russell,24000000.0,22518097.0
The Cutting Edge,Comedy,6.9,Paul Michael Glaser,D.B. Sweeney,,25105517.0
Passenger 57,Action,5.9,Kevin Hooks,Wesley Snipes,15000000.0,44065653.0
"Jamón, Jamón",Comedy,6.4,Bigas Luna,Penélope Cruz,,
Children of the Corn II: the Final Sacrifice,Horror,4.3,David Price,Terence Knox,900000.0,6980986.0
Ladybugs,Comedy,5.5,Sidney J. Furie,Rodney Dangerfield,,14796494.0
Radio Flyer,Drama,7.0,Richard Donner,Lorraine Bracco,35000000.0,4651977.0
Strictly Ballroom,Comedy,7.2,Baz Luhrmann,Paul Mercurio,,11749595.0
Raising Cain,Crime,6.1,Brian De Palma,John Lithgow,12000000.0,37170057.0
Orlando,Biography,7.2,Sally Potter,Tilda Swinton,4000000.0,5378172.0
Gladiator,Action,6.5,Rowdy Herrington,James Marshall,20000000.0,9223441.0
Split Second,Action,6.2,Tony Maylam,Rutger Hauer,7000000.0,5430822.0
Tom and Jerry: The Movie,Animation,5.4,Phil Roman,Richard Kind,8000000.0,3560469.0
Toys,Adventure,5.1,Barry Levinson,Robin Williams,43000000.0,23278931.0
Romper Stomper,Crime,6.8,Geoffrey Wright,Russell Crowe,,175340.0
1492: Conquest of Paradise,Adventure,6.5,Ridley Scott,Gérard Depardieu,47000000.0,7191399.0
Pure Country,Drama,7.0,Christopher Cain,George Strait,10000000.0,15164458.0
Boomerang,Comedy,5.5,Reginald Hudlin,Eddie Murphy,42000000.0,131052444.0
The Power of One,Drama,7.2,John G. Avildsen,Stephen Dorff,18000000.0,2827107.0
Dr. Giggles,Comedy,5.2,Manny Coto,Larry Drake,,8403433.0
Sidekicks,Action,5.1,Aaron Norris,Chuck Norris,,17180393.0
Medicine Man,Adventure,6.0,John McTiernan,Sean Connery,40000000.0,45500797.0
Honeymoon in Vegas,Comedy,5.8,Andrew Bergman,James Caan,25000000.0,35208854.0
Thunderheart,Crime,6.8,Michael Apted,Val Kilmer,15000000.0,22660758.0
Stop! Or My Mom Will Shoot,Action,4.3,Roger Spottiswoode,Sylvester Stallone,45000000.0,70611210.0
Innocent Blood,Action,6.2,John Landis,Anne Parillaud,20000000.0,4943279.0
Unlawful Entry,Crime,6.3,Jonathan Kaplan,Kurt Russell,,57138719.0
Lorenzo's Oil,Biography,7.3,George Miller,Nick Nolte,30000000.0,7286388.0
Final Analysis,Drama,5.9,Phil Joanou,Richard Gere,32000000.0,28590665.0
One False Move,Crime,7.1,Carl Franklin,Bill Paxton,,1543112.0
Stay Tuned,Adventure,6.2,Peter Hyams,John Ritter,25000000.0,10736401.0
Consenting Adults,Crime,5.7,Alan J. Pakula,Kevin Kline,18000000.0,21591728.0
Fortress,Action,5.9,Stuart Gordon,Christopher Lambert,8000000.0,6739141.0
Once Upon a Crime...,Comedy,5.9,Eugene Levy,John Candy,18000000.0,8669847.0
Mom and Dad Save the World,Adventure,5.4,Greg Beeman,Teri Garr,14000000.0,2034470.0
Supercop,Action,6.9,Stanley Tong,Jackie Chan,900000.0,16270600.0
Jennifer 8,Crime,6.3,Bruce Robinson,Andy Garcia,20000000.0,11390479.0
Bébé's Kids,Animation,5.8,Bruce W. Smith,Faizon Love,,8442162.0
Memoirs of an Invisible Man,Comedy,6.0,John Carpenter,Chevy Chase,40000000.0,14358033.0
Peter's Friends,Comedy,7.0,Kenneth Branagh,Hugh Laurie,5000000.0,4058564.0
Freejack,Action,5.4,Geoff Murphy,Emilio Estevez,30000000.0,17129026.0
Como agua para chocolate,Drama,7.1,Alfonso Arau,Marco Leonardi,2000000.0,21744201.0
Leap of Faith,Comedy,6.1,Richard Pearce,Steve Martin,,23369283.0
Noises Off...,Comedy,7.5,Peter Bogdanovich,Michael Caine,12000000.0,2280148.0
Class Act,Comedy,6.1,Randall Miller,Christopher Reid,7500000.0,13272113.0
Diggstown,Drama,7.0,Michael Ritchie,James Woods,17000000.0,4836637.0
Indochine,Drama,7.1,Régis Wargnier,Catherine Deneuve,,5603158.0
Nemesis,Action,5.4,Albert Pyun,Olivier Gruner,,2001124.0
Kuffs,Action,5.9,Bruce A. Evans,Christian Slater,10000000.0,21142815.0
Shining Through,Drama,6.4,David Seltzer,Michael Douglas,,43838238.0
Mo' Money,Action,5.5,Peter MacDonald,Damon Wayans,10000000.0,40227006.0
Husbands and Wives,Comedy,7.5,Woody Allen,Woody Allen,20000000.0,10555619.0
Trespass,Action,6.3,Walter Hill,Bill Paxton,14000000.0,13249535.0
Love Potion No. 9,Comedy,5.7,Dale Launer,Tate Donovan,,754935.0
Rapid Fire,Action,6.3,Dwight H. Little,Brandon Lee,10000000.0,14356479.0
Wind,Action,6.4,Carroll Ballard,Matthew Modine,29000000.0,5519569.0
Hero,Comedy,6.5,Stephen Frears,Dustin Hoffman,42000000.0,19507345.0
South Central,Crime,6.8,Stephen Milburn Anderson,Glenn Plummer,4000000.0,1373196.0
The Muppet Christmas Carol,Comedy,7.7,Brian Henson,Michael Caine,12000000.0,32574382.0
Un Coeur en Hiver,Drama,7.6,Claude Sautet,Daniel Auteuil,,1605437.0
Tokyo Decadence,Drama,6.0,Ryû Murakami,Miho Nikaido,,277845.0
Mr. Baseball,Comedy,6.0,Fred Schepisi,Tom Selleck,40000000.0,20883046.0
Love Crimes,Romance,4.2,Lizzie Borden,Sean Young,,2287928.0
Naked Killer,Action,6.0,Clarence Fok,Chingmy Yau,,
CrissCross,Crime,5.8,Chris Menges,Goldie Hawn,14000000.0,3052738.0
Waterland,Drama,6.6,Stephen Gyllenhaal,Jeremy Irons,10000000.0,1100218.0
The Distinguished Gentleman,Comedy,5.9,Jonathan Lynn,Eddie Murphy,50000000.0,46666502.0
White Sands,Action,6.0,Roger Donaldson,Willem Dafoe,22000000.0,9011574.0
Belle Epoque,Comedy,7.1,Fernando Trueba,Fernando Fernán Gómez,,5418216.0
Swoon,Crime,6.7,Tom Kalin,Daniel Schlachet,250000.0,
Knight Moves,Crime,6.1,Carl Schenkel,Christopher Lambert,9000000.0,923418.0
Light Sleeper,Crime,6.8,Paul Schrader,Willem Dafoe,5000000.0,1055987.0
A Midnight Clear,Drama,7.2,Keith Gordon,Peter Berg,5000000.0,1526697.0
Bob Roberts,Comedy,7.0,Tim Robbins,Tim Robbins,,4479470.0
Sarafina!,Drama,6.3,Darrell Roodt,Whoopi Goldberg,,7306242.0
For a Lost Soldier,Drama,7.5,Roeland Kerbosch,Maarten Smit,,
In the Soup,Comedy,7.1,Alexandre Rockwell,Steve Buscemi,,256249.0
A Stranger Among Us,Crime,5.6,Sidney Lumet,Melanie Griffith,18000000.0,12282994.0
Where the Day Takes You,Crime,6.6,Marc Rocco,Dermot Mulroney,3000000.0,390152.0
Passion Fish,Drama,7.4,John Sayles,Mary McDonnell,3330000.0,4814619.0
That Night,Drama,6.6,Craig Bolotin,C. Thomas Howell,,20194.0
Gas Food Lodging,Drama,6.6,Allison Anders,Brooke Adams,,1342613.0
American Heart,Crime,6.7,Martin Bell,Jeff Bridges,10000000.0,384048.0
The Babe,Biography,5.9,Arthur Hiller,John Goodman,,19930973.0
La sentinelle,Drama,6.6,Arnaud Desplechin,Emmanuel Salinger,,
Christopher Columbus: The Discovery,Adventure,4.5,John Glen,Marlon Brando,40000000.0,8251071.0
Claire of the Moon,Drama,5.1,Nicole Conn,Trisha Todd,130000.0,
Prelude to a Kiss,Comedy,5.6,Norman René,Meg Ryan,,22697691.0
The Best Intentions,Biography,7.8,Bille August,Samuel Fröler,,1253106.0
The Public Eye,Crime,6.5,Howard Franklin,Joe Pesci,15000000.0,3067917.0
Article 99,Comedy,6.1,Howard Deutch,Ray Liotta,18000000.0,6375979.0
The Mambo Kings,Drama,6.4,Arne Glimcher,Armand Assante,15500000.0,6742168.0
Into the West,Adventure,7.0,Mike Newell,Gabriel Byrne,,4790801.0
The Playboys,Drama,6.3,Gillies MacKinnon,Albert Finney,,4906900.0
City of Joy,Drama,6.5,Roland Joffé,Patrick Swayze,27000000.0,14683921.0
Straight Talk,Comedy,5.8,Barnet Kellman,Dolly Parton,,21202099.0
Qing shao nian nuo zha,Crime,7.6,Ming-liang Tsai,Chao-jung Chen,,28791.0
Love Field,Drama,6.6,Jonathan Kaplan,Michelle Pfeiffer,18000000.0,1014726.0
Mr. Saturday Night,Comedy,5.9,Billy Crystal,Billy Crystal,43000000.0,13351357.0
Twin Dragons,Action,6.5,Ringo Lam,Jackie Chan,10000000.0,8359717.0
Aces: Iron Eagle III,Action,3.7,John Glen,Louis Gossett Jr.,,2517600.0
The Living End,Comedy,6.5,Gregg Araki,Mike Dytri,22769.0,692585.0
Simple Men,Crime,7.2,Hal Hartley,Robert John Burke,3000000.0,143010.0
Guncrazy,Crime,5.5,Tamra Davis,Drew Barrymore,800000.0,114516.0
Folks!,Comedy,5.7,Ted Kotcheff,Tom Selleck,15000000.0,6132924.0
Léolo,Comedy,7.5,Jean-Claude Lauzon,Maxime Collin,,611703.0
Night and the City,Comedy,5.8,Irwin Winkler,Robert De Niro,20000000.0,6202756.0
Whispers in the Dark,Drama,5.6,Christopher Crowe,Annabella Sciorra,18000000.0,11124511.0
Zebrahead,Drama,6.3,Anthony Drazan,Michael Rapaport,,1557771.0
Hyenas,Comedy,7.4,Djibril Diop Mambéty,Mansour Diouf,,24672.0
A Tale of Winter,Drama,7.3,Éric Rohmer,Charlotte Véry,,52431.0
Man Trouble,Comedy,4.7,Bob Rafelson,Jack Nicholson,30000000.0,4096030.0
Laws of Gravity,Crime,6.8,Nick Gomez,Peter Greene,38000.0,
Brain Donors,Comedy,7.1,Dennis Dugan,John Turturro,,918239.0
Out on a Limb,Comedy,5.3,Francis Veber,Matthew Broderick,,1659542.0
Tetsuo II: Body Hammer,Action,6.4,Shin'ya Tsukamoto,Tomorô Taguchi,,
Traces of Red,Crime,5.2,Andy Wolk,Jim Belushi,,3206714.0
