name,genre,score,director,star,budget,gross
Just Tell Me What You Want,Comedy,5.5,Sidney Lumet,Ali MacGraw,,2086905.0
The Last Flight of Noah's Ark,Adventure,5.8,Charles Jarrott,Elliott Gould,6000000.0,11000000.0
Little Miss Marker,Comedy,6.3,Walter Bernstein,Walter Matthau,,6321392.0
Willie & Phil,Comedy,5.9,Paul Mazursky,Michael Ontkean,5500000.0,4400000.0
Babylon,Drama,7.4,Franco Rosso,David N. Haynes,,109749.0
Windwalker,Adventure,6.9,Kieth Merrill,Trevor Howard,3000000.0,
Phobia,Drama,4.0,John Huston,Paul Michael Glaser,5100000.0,59167.0
Windows,Drama,4.8,Gordon Willis,Talia Shire,,2128395.0
Loving Couples,Comedy,5.2,Jack Smight,Shirley MacLaine,,2806659.0
The King and the Mockingbird,Animation,7.9,Paul Grimault,Jean Martin,,167451.0
"Oh, God! Book II",Comedy,5.2,Gilbert Cates,George Burns,,14504277.0
"Those Lips, Those Eyes",Comedy,6.5,Michael Pressman,Frank Langella,,804713.0
La Cage aux Folles II,Comedy,5.8,Édouard Molinaro,Michel Serrault,,6950125.0
The Gong Show Movie,Comedy,4.3,Chuck Barris,Chuck Barris,,6621520.0
Gilda Live,Comedy,6.8,Mike Nichols,Gilda Radner,,2261507.0
Why Would I Lie?,Comedy,6.5,Larry Peerce,Treat Williams,,1175855.0
First Family,Comedy,4.3,Buck Henry,Bob Newhart,,15198912.0
Mantis Fist Fighter,Action,6.7,Wing-Cho Yip,Ka-Yan Leung,,
Indiana Jones and the Raiders of the Lost Ark,Action,8.4,Steven Spielberg,Harrison Ford,18000000.0,389925971.0
Body Heat,Crime,7.4,Lawrence Kasdan,William Hurt,,24058838.0
An American Werewolf in London,Comedy,7.5,John Landis,David Naughton,10000000.0,30669378.0
Escape from New York,Action,7.2,John Carpenter,Kurt Russell,6000000.0,25244626.0
The Evil Dead,Horror,7.5,Sam Raimi,Bruce Campbell,350000.0,2956630.0
Porky's,Comedy,6.2,Bob Clark,Dan Monahan,2500000.0,111289673.0
Blow Out,Crime,7.4,Brian De Palma,John Travolta,18000000.0,12000000.0
