name,genre,score,director,actor_2_name,actor_1_name,gross,budget
Copycat,Drama,6.6,Jon Amiel,Holly Hunter,William McNamara,32051917.0,20000000.0
The American President,Comedy,6.8,Rob Reiner,Samantha Mathis,Shawna Waldron,107879496.0,62000000.0
Under Siege 2: Dark Territory,Action,5.5,Geoff Murphy,Brenda Bakke,Peter Greene,104324083.0,60000000.0
Mr. Holland's Opus,Drama,7.3,Stephen Herek,Olympia Dukakis,Alicia Witt,106269971.0,6500000.0
The Prophecy,Action,6.5,Gregory Widen,Adam Goldberg,Viggo Mortensen,16115878.0,8000000.0
Ace Ventura: When Nature Calls,Adventure,6.4,Steve Oedekerk,Bob Gunton,Bruce Spence,212385533.0,30000000.0
First Knight,Action,6.0,Jerry Zucker,Ben Cross,Julia Ormond,127600435.0,55000000.0
Jade,Crime,5.3,William Friedkin,Chazz Palminteri,Michael Biehn,9851610.0,50000000.0
Virtuosity,Action,5.6,Brett Leonard,Costas Mandylor,Denzel Washington,24047675.0,30000000.0
Halloween: The Curse of Michael Myers,Horror,4.8,Joe Chappelle,Kim Darby,Donald Pleasence,15116634.0,5000000.0
Assassins,Action,6.3,Richard Donner,Sylvester Stallone,Muse Watson,30303072.0,50000000.0
Rob Roy,Adventure,6.9,Michael Caton-Jones,Jason Flemyng,Liam Neeson,31596911.0,28000000.0
Welcome to the Dollhouse,Comedy,7.4,Todd Solondz,Ken Leung,Heather Matarazzo,4569019.0,800000.0
The Indian in the Cupboard,Drama,6.0,Frank Oz,Vincent Kartheiser,Steve Coogan,35656131.0,45000000.0
Rumble in the Bronx,Action,6.8,Stanley Tong,Anita Mui,Françoise Yip,32392047.0,7500000.0
Tales from the Crypt: Demon Knight,Action,6.7,Ernest R. Dickerson,Jada Pinkett Smith,CCH Pounder,21089146.0,13000000.0
The Net,Action,5.9,Irwin Winkler,Jeremy Northam,Ken Howard,110627965.0,22000000.0
Tales from the Hood,Crime,6.4,Rusty Cundieff,Clarence Williams III,Corbin Bernsen,11837928.0,6000000.0
Money Train,Action,5.7,Joseph Ruben,Robert Blake,Vincent Pastore,35431113.0,68000000.0
Man of the House,Comedy,5.2,James Orr,Vanessa Ferlito,Christina Milian,40070995.0,40000000.0
Nixon,Biography,7.1,Oliver Stone,Bob Hoskins,Anthony Hopkins,13681765.0,50000000.0
Fair Game,Action,4.3,Andrew Sipes,Ty Burrell,Naomi Watts,11534477.0,22000000.0
The Scarlet Letter,Drama,5.3,Roland Joffé,Robert Duvall,Gary Oldman,10382407.0,50000000.0
Things to Do in Denver When You're Dead,Crime,6.8,Gary Fleder,Bill Cobbs,Steve Buscemi,529766.0,7000000.0
Safe,Drama,7.2,Todd Haynes,Reggie Lee,Jason Statham,512245.0,30000000.0
Vampire in Brooklyn,Comedy,4.6,Wes Craven,W. Earl Brown,John Witherspoon,19751736.0,20000000.0
Richard III,Drama,7.4,Richard Loncraine,Jim Broadbent,Robert Downey Jr.,2748518.0,6000000.0
Kiss of Death,Crime,5.9,Barbet Schroeder,Michael Rapaport,Nicolas Cage,14942422.0,40000000.0
Home for the Holidays,Comedy,6.6,Jodie Foster,Holly Hunter,Robert Downey Jr.,17519169.0,20000000.0
The Cure,Drama,7.7,Peter Horton,Anna Nakagawa,Kôji Yakusho,2568425.0,1000000.0
The Hunted,Action,6.0,J.F. Lawton,Jenna Boyd,Connie Nielsen,6609661.0,55000000.0
The Brothers McMullen,Comedy,6.6,Edward Burns,Michael McGlone,Shari Albert,10426506.0,25000.0
Bad Company,Crime,5.4,Damian Harris,Brooke Smith,Anthony Hopkins,3674841.0,70000000.0
The Incredibly True Adventure of Two Girls in Love,Comedy,6.5,Maria Maggenti,Laurel Holloman,Nicole Ari Parker,2210408.0,250000.0
Jefferson in Paris,Biography,5.7,James Ivory,Todd Boyce,Seth Gilliam,2473668.0,14000000.0
Space Jam,Animation,6.5,Joe Pytka,Wayne Knight,Bill Murray,230418342.0,80000000.0
Romeo + Juliet,Drama,6.7,Baz Luhrmann,Harold Perrineau,Leonardo DiCaprio,147554998.0,14500000.0
Sleepers,Crime,7.6,Barry Levinson,Brad Pitt,Robert De Niro,165615285.0,44000000.0
From Dusk Till Dawn,Action,7.2,Robert Rodriguez,Salma Hayek,Quentin Tarantino,25837111.0,19000000.0
Mission: Impossible,Action,7.1,Brian De Palma,Kristin Scott Thomas,Tom Cruise,457696391.0,80000000.0
Trainspotting,Drama,8.1,Danny Boyle,Shirley Henderson,Kelly Macdonald,16607872.0,3500000.0
Twister,Action,6.4,Jan de Bont,Alan Ruck,Philip Seymour Hoffman,494471524.0,92000000.0
Happy Gilmore,Comedy,7.0,Dennis Dugan,Kevin Nealon,Adam Sandler,41205099.0,12000000.0
Crash,Drama,6.4,David Cronenberg,Loretta Devine,Don Cheadle,2671291.0,6500000.0
Jerry Maguire,Comedy,7.3,Cameron Crowe,Kelly Preston,Tom Cruise,273552592.0,50000000.0
The Rock,Action,7.4,Michael Bay,Michael Biehn,Nicolas Cage,335062621.0,75000000.0
A Time to Kill,Crime,7.5,Joel Schumacher,Matthew McConaughey,Kevin Spacey,152266007.0,40000000.0
The Craft,Drama,6.4,Andrew Fleming,Rachel True,Christine Taylor,24819936.0,15000000.0
Mars Attacks!,Comedy,6.3,Tim Burton,Martin Short,Natalie Portman,101371017.0,70000000.0
The English Patient,Drama,7.4,Anthony Minghella,Kristin Scott Thomas,Colin Firth,231976425.0,27000000.0
The Long Kiss Goodnight,Action,6.8,Renny Harlin,Craig Bierko,Melina Kanakaredes,89456761.0,65000000.0
Bottle Rocket,Comedy,7.0,Wes Anderson,Darryl Cox,Andrew Wilson,560069.0,7000000.0
Bound,Crime,7.3,Lana Wachowski,Kevin Michael Richardson,Christopher Meloni,3802260.0,4500000.0
Sling Blade,Drama,8.0,Billy Bob Thornton,Dwight Yoakam,Robert Duvall,24444121.0,890000.0
The Mirror Has Two Faces,Comedy,6.6,Barbra Streisand,Austin Pendleton,Jeff Bridges,41083864.0,42000000.0
That Thing You Do!,Comedy,6.9,Tom Hanks,Charlize Theron,Tom Hanks,34585416.0,26000000.0
The Island of Dr. Moreau,Horror,4.5,John Frankenheimer,Temuera Morrison,Marlon Brando,49627779.0,40000000.0
Kingpin,Comedy,6.9,Bobby Farrelly,Lin Shaye,Bill Murray,25023434.0,27000000.0
The Hunchback of Notre Dame,Animation,7.0,Gary Trousdale,Jason Alexander,Demi Moore,325338851.0,100000000.0
Eraser,Action,6.1,Chuck Russell,James Coburn,Vanessa Williams,242295562.0,100000000.0
Striptease,Comedy,4.5,Andrew Bergman,Rumer Willis,Demi Moore,113309743.0,40000000.0
Star Trek: First Contact,Action,7.6,Jonathan Frakes,Alfre Woodard,LeVar Burton,146027888.0,45000000.0
Swingers,Comedy,7.2,Doug Liman,Alex Désert,Jon Favreau,4555020.0,200000.0
Escape from L.A.,Action,5.7,John Carpenter,Valeria Golino,Steve Buscemi,25477365.0,50000000.0
The Cable Guy,Comedy,6.1,Ben Stiller,Janeane Garofalo,Matthew Broderick,102825796.0,47000000.0
Thinner,Fantasy,5.8,Tom Holland,Bethany Joy Lenz,Joe Mantegna,15315484.0,8500000.0
The Nutty Professor,Comedy,5.6,Tom Shadyac,James Coburn,Jada Pinkett Smith,273961019.0,54000000.0
The Ghost and the Darkness,Adventure,6.8,Stephen Hopkins,Bernard Hill,Tom Wilkinson,38619405.0,55000000.0
Courage Under Fire,Action,6.6,Edward Zwick,Matt Damon,Denzel Washington,100860818.0,46000000.0
The First Wives Club,Comedy,6.4,Hugh Wilson,Elizabeth Berkley,Stockard Channing,181489203.0,26000000.0
Set It Off,Action,6.9,F. Gary Gray,Jada Pinkett Smith,Vivica A. Fox,41590886.0,9000000.0
DragonHeart,Action,6.5,Rob Cohen,Brian Thompson,Dennis Quaid,115267375.0,57000000.0
Executive Decision,Action,6.4,Stuart Baird,Joe Morton,Oliver Platt,121969216.0,55000000.0
White Squall,Adventure,6.6,Ridley Scott,Jason Marsden,Jeff Bridges,10292300.0,38000000.0
Broken Arrow,Action,6.0,John Woo,Samantha Mathis,Delroy Lindo,150270147.0,50000000.0
Chain Reaction,Action,5.7,Andrew Davis,Morgan Freeman,Keanu Reeves,60209334.0,50000000.0
Kama Sutra: A Tale of Love,Crime,6.0,Mira Nair,Sarita Choudhury,Indira Varma,4109095.0,3000000.0
Waiting for Guffman,Comedy,7.5,Christopher Guest,Fred Willard,Catherine O'Hara,2923982.0,4000000.0
Daylight,Action,5.9,Rob Cohen,Viggo Mortensen,Sylvester Stallone,159212469.0,80000000.0
Ransom,Action,6.7,Ron Howard,Delroy Lindo,Lili Taylor,309492681.0,80000000.0
Beavis and Butt-Head Do America,Animation,6.8,Directors,Demi Moore,Bruce Willis,63118386.0,12000000.0
Tin Cup,Comedy,6.4,Ron Shelton,Cheech Marin,Don Johnson,53854588.0,45000000.0
The Phantom,Action,5.0,Simon Wincer,Treat Williams,Cary-Hiroyuki Tagawa,17323326.0,45000000.0
The Fan,Action,5.9,Tony Scott,Kurt Fuller,Robert De Niro,18626419.0,55000000.0
Eye for an Eye,Crime,6.2,John Schlesinger,Beverly D'Angelo,Joe Mantegna,26877589.0,20000000.0
Trees Lounge,Comedy,7.1,Steve Buscemi,Debi Mazar,Steve Buscemi,749741.0,1300000.0
Freeway,Comedy,6.8,Matthew Bright,Dan Hedaya,Bokeem Woodbine,295493.0,3000000.0
Jingle All the Way,Adventure,5.6,Brian Levant,Harvey Korman,Jim Belushi,129832389.0,60000000.0
She's the One,Comedy,6.0,Edward Burns,Frank Vincent,John Mahoney,9538948.0,3500000.0
Shine,Biography,7.7,Scott Hicks,Armin Mueller-Stahl,Noah Taylor,35999081.0,5500000.0
Maximum Risk,Action,5.5,Ringo Lam,Zach Grenier,Natasha Henstridge,14502483.0,25000000.0
Lone Star,Drama,7.4,John Sayles,Clifton James,Matthew McConaughey,12408986.0,5000000.0
Michael Collins,Biography,7.2,Neil Jordan,Liam Neeson,Alan Rickman,11135803.0,28000000.0
Phenomenon,Drama,6.4,Jon Turteltaub,Kyra Sedgwick,Robert Duvall,152036382.0,32000000.0
Harriet the Spy,Comedy,5.9,Bronwen Hughes,Eartha Kitt,Gregory Smith,26570048.0,13000000.0
Flipper,Adventure,5.3,Alan Shapiro,Chelsea Field,Paul Hogan,20080020.0,25530000.0
Evita,Biography,6.3,Alan Parker,Jimmy Nail,Andrea Corr,141047179.0,55000000.0
Spy Hard,Action,5.4,Rick Friedberg,Barry Bostwick,Hulk Hogan,26960191.0,18000000.0
Marvin's Room,Drama,6.7,Jerry Zaks,Robert De Niro,Leonardo DiCaprio,12803305.0,23000000.0
Multiplicity,Comedy,6.1,Harold Ramis,Brian Doyle-Murray,John de Lancie,21075014.0,45000000.0
Everyone Says I Love You,Comedy,6.7,Woody Allen,Gaby Hoffmann,Natasha Lyonne,9759200.0,20000000.0
Basquiat,Biography,6.9,Julian Schnabel,Michael Wincott,Gary Oldman,3011195.0,3300000.0
Blood and Wine,Crime,6.0,Bob Rafelson,Mike Starr,Harold Perrineau,1094668.0,22000000.0
Mrs. Winterbourne,Comedy,6.2,Richard Benjamin,Jane Krakowski,Brendan Fraser,10082005.0,25000000.0
The Glimmer Man,Action,5.4,John Gray,Bob Gunton,Alexa PenaVega,20351264.0,45000000.0
Up Close & Personal,Drama,6.2,Jon Avnet,Stockard Channing,Joe Mantegna,100688705.0,60000000.0
The Juror,Crime,5.7,Brian Gibson,Demi Moore,Joseph Gordon-Levitt,22754725.0,44000000.0
Flirting with Disaster,Comedy,6.7,David O. Russell,Mary Tyler Moore,Lily Tomlin,14702438.0,7000000.0
Ghosts of Mississippi,Drama,6.7,Rob Reiner,Virginia Madsen,Alexa PenaVega,13323144.0,36000000.0
Extreme Measures,Crime,6.2,Michael Apted,Paul Guilfoyle,J.K. Simmons,17380126.0,38000000.0
A Thin Line Between Love and Hate,Comedy,5.7,Martin Lawrence,Lynn Whitfield,Faizon Love,35599803.0,8000000.0
The Pallbearer,Comedy,5.0,Matt Reeves,Michael Rapaport,Mark Margolis,5656388.0,8000000.0
City Hall,Drama,6.2,Harold Becker,Martin Landau,Al Pacino,20340204.0,40000000.0
Mary Reilly,Drama,5.8,Stephen Frears,Bronagh Gallagher,Julia Roberts,12379402.0,47000000.0
My Fellow Americans,Adventure,6.5,Peter Segal,Bradley Whitford,Wilford Brimley,22313201.0,21500000.0
Sgt. Bilko,Comedy,5.8,Jonathan Lynn,Phil Hartman,Austin Pendleton,37956793.0,39000000.0
Girl 6,Comedy,5.2,Spike Lee,Debi Mazar,Michael Imperioli,4939939.0,12000000.0
The Funeral,Crime,6.6,Abel Ferrara,Vincent Gallo,Isabella Rossellini,1227324.0,12500000.0
Kansas City,Crime,6.3,Robert Altman,Jennifer Jason Leigh,Steve Buscemi,1356828.0,19000000.0
Fled,Action,5.4,Kevin Hooks,Stephen Baldwin,Salma Hayek,17193231.0,25000000.0
The Game,Drama,7.8,David Fincher,Armin Mueller-Stahl,Deborah Kara Unger,109423648.0,50000000.0
Boogie Nights,Drama,7.9,Paul Thomas Anderson,Nicole Ari Parker,Don Cheadle,43101594.0,15000000.0
Titanic,Drama,7.8,James Cameron,Kate Winslet,Leonardo DiCaprio,2201647264.0,200000000.0
The Fifth Element,Action,7.7,Luc Besson,Bruce Willis,Milla Jovovich,263920180.0,93000000.0
Austin Powers: International Man of Mystery,Adventure,7.0,Jay Roach,Charles Napier,Will Ferrell,67683989.0,17000000.0
Lolita,Drama,6.9,Adrian Lyne,Shelley Winters,James Mason,1071255.0,2000000.0
Good Will Hunting,Drama,8.3,Gus Van Sant,Matt Damon,Robin Williams,225933435.0,10000000.0
Starship Troopers,Action,7.2,Paul Verhoeven,Patrick Muldoon,Jake Busey,121214377.0,105000000.0
The Devil's Advocate,Drama,7.5,Taylor Hackford,Al Pacino,Keanu Reeves,152944660.0,57000000.0
Con Air,Action,6.9,Simon West,Monica Potter,Steve Buscemi,224012234.0,75000000.0
Jackie Brown,Crime,7.5,Quentin Tarantino,Sid Haig,Robert De Niro,39673807.0,12000000.0
L.A. Confidential,Crime,8.2,Curtis Hanson,Matt McCoy,Kevin Spacey,126216940.0,35000000.0
Contact,Drama,7.5,Robert Zemeckis,Tom Skerritt,Matthew McConaughey,171120329.0,90000000.0
Men in Black,Action,7.3,Barry Sonnenfeld,Rip Torn,Will Smith,589390539.0,90000000.0
Air Force One,Action,6.5,Wolfgang Petersen,Gary Oldman,Harrison Ford,315156409.0,85000000.0
Batman & Robin,Action,3.8,Joel Schumacher,Vivica A. Fox,Michael Gough,238235719.0,125000000.0
Event Horizon,Horror,6.7,Paul W.S. Anderson,Joely Richardson,Sean Pertwee,26673829.0,60000000.0
Dante's Peak,Action,6.0,Roger Donaldson,Grant Heslov,Jamie Renée Smith,178127760.0,116000000.0
The Lost World: Jurassic Park,Action,6.6,Steven Spielberg,Richard Schiff,Ariana Richards,618638999.0,73000000.0
Scream 2,Horror,6.2,Wes Craven,Jada Pinkett Smith,Omar Epps,172363301.0,24000000.0
Face/Off,Action,7.2,John Woo,CCH Pounder,Nicolas Cage,245676146.0,80000000.0
As Good as It Gets,Comedy,7.7,James L. Brooks,Yeardley Smith,Lupe Ontiveros,314178011.0,50000000.0
Gattaca,Drama,7.8,Andrew Niccol,Xander Berkeley,Blair Underwood,12532777.0,36000000.0
The Rainmaker,Crime,7.2,Francis Ford Coppola,Dean Stockwell,Matt Damon,45916769.0,40000000.0
I Know What You Did Last Summer,Horror,5.7,Jim Gillespie,Sarah Michelle Gellar,Muse Watson,125586134.0,17000000.0
Alien: Resurrection,Action,6.2,Jean-Pierre Jeunet,Michael Wincott,Gary Dourdan,161376069.0,75000000.0
Cube,Drama,7.2,Vincenzo Natali,Julian Richings,David Hewlett,565727.0,365000.0
Liar Liar,Comedy,6.9,Tom Shadyac,Swoosie Kurtz,Maura Tierney,302710615.0,45000000.0
Donnie Brasco,Biography,7.7,Mike Newell,Al Pacino,Johnny Depp,124909762.0,35000000.0
George of the Jungle,Action,5.5,Sam Weisman,Abraham Benrubi,Brendan Fraser,174463257.0,55000000.0
Anastasia,Animation,7.2,Don Bluth,Kelsey Grammer,Kirsten Dunst,139804348.0,50000000.0
Midnight in the Garden of Good and Evil,Crime,6.6,Clint Eastwood,Bob Gunton,Kevin Spacey,25105255.0,30000000.0
My Best Friend's Wedding,Comedy,6.3,P.J. Hogan,Christopher Masterson,Julia Roberts,299288605.0,46000000.0
Anaconda,Action,4.8,Luis Llosa,Eric Stoltz,Frank Welker,136885767.0,45000000.0
Tomorrow Never Dies,Action,6.5,Roger Spottiswoode,Colin Salmon,Vincent Schiavelli,333011068.0,110000000.0
Speed 2: Cruise Control,Action,3.9,Jan de Bont,Temuera Morrison,Jason Patric,164508066.0,160000000.0
The Saint,Action,6.2,Phillip Noyce,Michael Byrne,Alun Armstrong,118063304.0,68000000.0
The Full Monty,Comedy,7.2,Peter Cattaneo,Mark Addy,Tom Wilkinson,257938649.0,3500000.0
Spawn,Action,5.2,Mark A.Z. Dippé,Frank Welker,Michael Jai White,87840042.0,40000000.0
Seven Years in Tibet,Adventure,7.1,Jean-Jacques Annaud,Mako,Brad Pitt,131457682.0,70000000.0
Cop Land,Crime,6.9,James Mangold,Sylvester Stallone,Robert De Niro,44862187.0,10000000.0
In & Out,Comedy,6.4,Frank Oz,Wilford Brimley,Tom Selleck,63856929.0,35000000.0
Chasing Amy,Comedy,7.2,Kevin Smith,Ethan Suplee,Matt Damon,12021272.0,250000.0
Conspiracy Theory,Action,6.7,Richard Donner,Alex McArthur,Julia Roberts,136982834.0,75000000.0
Breakdown,Crime,6.9,Jonathan Mostow,M.C. Gainey,Kathleen Quinlan,50159144.0,36000000.0
G.I. Jane,Action,6.0,Ridley Scott,Demi Moore,Viggo Mortensen,48169156.0,50000000.0
The Jackal,Action,6.4,Michael Caton-Jones,Bruce Willis,J.K. Simmons,159330280.0,60000000.0
Kiss the Girls,Crime,6.6,Gary Fleder,Tony Goldwyn,Morgan Freeman,60527873.0,27000000.0
The Devil's Own,Action,6.2,Alan J. Pakula,Brad Pitt,Harrison Ford,140807547.0,86000000.0
Amistad,Biography,7.3,Steven Spielberg,Morgan Freeman,Anthony Hopkins,44229441.0,36000000.0
Grosse Pointe Blank,Action,7.3,George Armitage,Michael Cudlitz,Minnie Driver,28084357.0,15000000.0
Mortal Kombat: Annihilation,Action,3.7,John R. Leonetti,Talisa Soto,Brian Thompson,51376861.0,30000000.0
Spice World,Comedy,3.5,Bob Spiers,Richard Briers,Jason Flemyng,29342592.0,25000000.0
Selena,Biography,6.8,Gregory Nava,Constance Marie,Jon Seda,35281794.0,20000000.0
The Borrowers,Adventure,5.9,Peter Hewitt,Bradley Pierce,Jim Broadbent,22619589.0,29000000.0
The Peacemaker,Action,6.0,Mimi Leder,Holt McCallany,Armin Mueller-Stahl,110463140.0,50000000.0
Volcano,Action,5.5,Mick Jackson,Anne Heche,Don Cheadle,122823468.0,90000000.0
Flubber,Comedy,5.3,Les Mayfield,Jodi Benson,Robin Williams,177977226.0,80000000.0
Orgazmo,Comedy,6.1,Trey Parker,Dian Bachar,Trey Parker,602302.0,1000000.0
The Ice Storm,Drama,7.4,Ang Lee,Kate Burton,Joan Allen,8038061.0,18000000.0
Soul Food,Comedy,7.0,George Tillman Jr.,Mekhi Phifer,Vanessa Williams,43700855.0,7500000.0
Children of Heaven,Drama,8.3,Majid Majidi,Amir Farrokh Hashemian,Bahare Seddiqi,933933.0,180000.0
The Relic,Horror,5.8,Peter Hyams,Penelope Ann Miller,John Kapelos,33956608.0,40000000.0
Wag the Dog,Comedy,7.1,Barry Levinson,Kirsten Dunst,Robert De Niro,64256513.0,15000000.0
Absolute Power,Action,6.7,Clint Eastwood,Mark Margolis,Clint Eastwood,50068310.0,50000000.0
Money Talks,Action,6.2,Brett Ratner,Paul Sorvino,Heather Locklear,48407611.0,25000000.0
The Sweet Hereafter,Drama,7.5,Atom Egoyan,Sarah Polley,Bruce Greenwood,3263585.0,5000000.0
Switchback,Crime,6.4,Jeb Stuart,Claudia Stedelin,Gregory Scott Cummins,6492660.0,37000000.0
Nothing to Lose,Action,6.7,Steve Oedekerk,Michael McKean,Kelly Preston,44480039.0,25000000.0
Steel,Action,2.9,Kenneth Johnson,Annabeth Gish,Charles Napier,1710972.0,16000000.0
Eve's Bayou,Drama,7.3,Kasi Lemmons,Lynn Whitfield,Jurnee Smollett-Bell,14842388.0,6000000.0
Kundun,Biography,7.0,Martin Scorsese,Tulku Jamyang Kunga Tenzin,Tenzin Thuthob Tsarong,5684789.0,28000000.0
Air Bud,Comedy,5.3,Charles Martin Smith,Bill Cobbs,Kevin Zegers,23144499.0,3000000.0
Love Jones,Drama,7.4,Theodore Witcher,Nia Long,Leonard Roberts,12782749.0,10000000.0
The Man Who Knew Too Little,Comedy,6.6,Jon Amiel,Peter Gallagher,Bill Murray,13717039.0,20000000.0
Deconstructing Harry,Comedy,7.4,Woody Allen,Lynn Cohen,Woody Allen,10686841.0,20000000.0
Insomnia,Crime,7.3,Erik Skjoldbjærg,Maura Tierney,Al Pacino,227569.0,46000000.0
The Spanish Prisoner,Drama,7.2,David Mamet,Felicity Huffman,Ben Gazzara,9593903.0,10000000.0
Warriors of Virtue,Action,4.7,Ronny Yu,Lee Arenberg,Marley Shelton,6537036.0,35000000.0
The Apostle,Drama,7.2,Robert Duvall,Todd Allen,John Beasley,19868354.0,5000000.0
Ulee's Gold,Drama,7.0,Victor Nunez,Patricia Richardson,Peter Fonda,9161691.0,2700000.0
Prefontaine,Biography,6.8,Steve James,Laurel Holloman,Kurtwood Smith,589304.0,8000000.0
Cats Don't Dance,Animation,6.9,Mark Dindal,Frank Welker,George Kennedy,3566637.0,32000000.0
Turbulence,Action,4.9,Robert Butler,Lauren Holly,Hector Elizondo,11538235.0,71000000.0
Two Girls and a Guy,Comedy,5.5,James Toback,Natasha Gregson Wagner,Robert Downey Jr.,2057193.0,1000000.0
A Simple Wish,Comedy,5.4,Michael Ritchie,Francis Capra,Mara Wilson,8345056.0,28000000.0
The Last Time I Committed Suicide,Biography,5.6,Stephen Kay,Marg Helgenberger,Keanu Reeves,46362.0,4000000.0
8 Heads in a Duffel Bag,Adventure,5.4,Tom Schulman,George Hamilton,Kristy Swanson,3602884.0,3000000.0
In the Company of Men,Comedy,7.2,Neil LaBute,Matt Malloy,Stacy Edwards,2804473.0,25000.0
Oscar and Lucinda,Drama,6.6,Gillian Armstrong,Richard Roxburgh,Tom Wilkinson,1897404.0,16000000.0
Smilla's Sense of Snow,Crime,6.4,Bille August,Tom Wilkinson,Jim Broadbent,2372903.0,35000000.0
The Big Lebowski,Comedy,8.1,Joel Coen,Jeff Bridges,Philip Seymour Hoffman,46748721.0,15000000.0
Saving Private Ryan,Drama,8.6,Steven Spielberg,Vin Diesel,Tom Hanks,482349603.0,70000000.0
American History X,Drama,8.5,Tony Kaye,Beverly D'Angelo,Ethan Suplee,23875127.0,7500000.0
"Lock, Stock and Two Smoking Barrels",Action,8.2,Guy Ritchie,Jason Flemyng,Jason Statham,3753929.0,960000.0
The Truman Show,Comedy,8.1,Peter Weir,Noah Emmerich,Natascha McElhone,264118201.0,60000000.0
Armageddon,Action,6.7,Michael Bay,Steve Buscemi,Bruce Willis,553709788.0,140000000.0
Rounders,Crime,7.3,John Dahl,Martin Landau,Matt Damon,22912409.0,12000000.0
Wild Things,Crime,6.5,John McNaughton,Robert Wagner,Bill Murray,30166293.0,20000000.0
Blade,Action,7.1,Stephen Norrington,Traci Lords,Sanaa Lathan,131183530.0,45000000.0
Meet Joe Black,Drama,7.2,Martin Brest,Brad Pitt,Anthony Hopkins,142940100.0,90000000.0
Fear and Loathing in Las Vegas,Adventure,7.6,Terry Gilliam,Michael Jeter,Johnny Depp,10680275.0,18500000.0
Deep Impact,Action,6.2,Mimi Leder,Jon Favreau,Morgan Freeman,349464664.0,75000000.0
There's Something About Mary,Comedy,7.1,Bobby Farrelly,Lin Shaye,Sarah Silverman,369884651.0,23000000.0
The Faculty,Horror,6.5,Robert Rodriguez,Salma Hayek,Jordana Brewster,40283321.0,15000000.0
A Bug's Life,Animation,7.2,John Lasseter,Madeline Kahn,Kevin Spacey,363258859.0,120000000.0
Out of Sight,Comedy,7.0,Steven Soderbergh,Albert Brooks,Don Cheadle,77745966.0,48000000.0
Mulan,Animation,7.6,Tony Bancroft,Harvey Fierstein,Ming-Na Wen,304320254.0,90000000.0
Practical Magic,Comedy,6.3,Griffin Dunne,Dianne Wiest,Goran Visnjic,46733235.0,48000000.0
The Thin Red Line,Drama,7.6,Terrence Malick,Miranda Otto,Nick Stahl,98126565.0,52000000.0
You've Got Mail,Comedy,6.7,Nora Ephron,Jean Stapleton,Tom Hanks,250821495.0,65000000.0
What Dreams May Come,Drama,7.0,Vincent Ward,Annabella Sciorra,Robin Williams,55382927.0,85000000.0
Rushmore,Comedy,7.7,Wes Anderson,Connie Nielsen,Bill Murray,17196103.0,9000000.0
The Mask of Zorro,Action,6.8,Martin Campbell,Tony Amendola,Anthony Hopkins,250288523.0,65000000.0
Dark City,Fantasy,7.6,Alex Proyas,William Hurt,Rufus Sewell,27200316.0,27000000.0
Ever After: A Cinderella Story,Comedy,7.0,Andy Tennant,Dougray Scott,Anjelica Huston,98005666.0,26000000.0
Shakespeare in Love,Comedy,7.1,John Madden,Martin Clunes,Tom Wilkinson,289317794.0,25000000.0
Can't Hardly Wait,Comedy,6.5,Harry Elfont,Lauren Ambrose,Ethan Embry,25605015.0,10000000.0
Small Soldiers,Action,6.2,Joe Dante,Denis Leary,Kirsten Dunst,54682547.0,40000000.0
Snake Eyes,Crime,6.0,Brian De Palma,Mike Starr,Nicolas Cage,103891409.0,69000000.0
The Prince of Egypt,Animation,7.1,Brenda Chapman,Aria Noelle Curzon,Martin Short,218613188.0,70000000.0
Stepmom,Comedy,6.8,Chris Columbus,Liam Aiken,Julia Roberts,159710793.0,50000000.0
The Waterboy,Comedy,6.1,Frank Coraci,Clint Howard,Adam Sandler,185991646.0,20000000.0
Blast from the Past,Comedy,6.6,Hugh Wilson,Sissy Spacek,Brendan Fraser,40263020.0,35000000.0
Star Trek: Insurrection,Action,6.4,Jonathan Frakes,Jonathan Frakes,LeVar Burton,112587658.0,58000000.0
The Man in the Iron Mask,Action,6.5,Randall Wallace,Anne Parillaud,Leonardo DiCaprio,182968902.0,35000000.0
Enemy of the State,Action,7.3,Tony Scott,Jake Busey,Will Smith,250849789.0,90000000.0
The Celebration,Drama,8.1,Thomas Vinterberg,Paprika Steen,Ulrich Thomsen,1657778.0,1300000.0
Urban Legend,Horror,5.6,Jamie Blanks,Loretta Devine,Alicia Witt,72527595.0,14000000.0
Ronin,Action,7.3,John Frankenheimer,Natascha McElhone,Robert De Niro,41616262.0,55000000.0
Lost in Space,Action,5.2,Stephen Hopkins,William Hurt,Gary Oldman,136159423.0,80000000.0
Bride of Chucky,Comedy,5.4,Ronny Yu,Park Bench,Alexis Arquette,50688658.0,25000000.0
Pi,Drama,7.4,Darren Aronofsky,Clint Mansell,Mark Margolis,3221152.0,60000.0
The Horse Whisperer,Drama,6.6,Robert Redford,Kristin Scott Thomas,Scarlett Johansson,186883563.0,60000000.0
Happiness,Comedy,7.7,Todd Solondz,Jon Lovitz,Philip Seymour Hoffman,2982011.0,3000000.0
Patch Adams,Biography,6.8,Tom Shadyac,Philip Seymour Hoffman,Robin Williams,202292902.0,50000000.0
Sphere,Action,6.1,Barry Levinson,James Pickens Jr.,Peter Coyote,37020277.0,75000000.0
Six Days Seven Nights,Action,5.8,Ivan Reitman,Anne Heche,Harrison Ford,164839294.0,70000000.0
Deep Rising,Action,6.1,Stephen Sommers,Jason Flemyng,Djimon Hounsou,11203026.0,45000000.0
